species_id,group_name,invname,comname,alt_status,sciname,status_category,region_name,id,abbrev,region_num,region_desc,vip,status
1590,Flowering Plants,"Cactus, Knowlton's",Knowlton's cactus,,Pediocactus knowltonii,Listed,Region 2,792,Wherever found,2,Southwest Region,P,Endangered
1265,Flowering Plants,No common name,No common name,,Schiedea sarmentosa,Listed,Region 1,605,Wherever found,1,Pacific Region,P,Endangered
4218,Flowering Plants,"Tarplant, Gaviota",Gaviota Tarplant,,Deinandra increscens ssp. villosa,Listed,Region 8,1119,Wherever found,8,Pacific Southwest Region,P,Endangered
5746,Flowering Plants,No common name,No common name,,Silene lanceolata,Listed,Region 1,830,Wherever found,1,Pacific Region,P,Endangered
6450,Flowering Plants,Ko`oko`olau,Ko`oko`olau,,Bidens campylotheca ssp. waihoiensis,Listed,Region 1,8277,Wherever found,1,Pacific Region,P,Endangered
4356,Flowering Plants,"Cactus, Florida semaphore",Florida semaphore Cactus,,Consolea corallicola,Listed,Region 4,1525,,4,Southeast Region,P,Endangered
6689,Flowering Plants,"Remya, Maui",Maui remya,,Remya mauiensis,Listed,Region 1,815,Wherever found,1,Pacific Region,P,Endangered
2185,Flowering Plants,No common name,No common name,,Keysseria (=Lagenifera) helenae,Listed,Region 1,8254,Wherever found,1,Pacific Region,P,Endangered
1063,Flowering Plants,"Orcutt grass, slender",Slender Orcutt grass,,Orcuttia tenuis,Listed,Region 8,583,Wherever found,8,Pacific Southwest Region,P,Threatened
2743,Flowering Plants,No common name,No common name,,Calyptranthes thomasiana,Listed,Region 4,895,Wherever found,4,Southeast Region,P,Endangered
5579,Flowering Plants,Makou,Makou,,Peucedanum sandwicense,Listed,Region 1,795,Wherever found,1,Pacific Region,P,Threatened
4906,Flowering Plants,"milkvetch, Osterhout",Osterhout milkvetch,,Astragalus osterhoutii,Listed,Region 6,640,Wherever found,6,Mountain Prairie Region,P,Endangered
8549,Flowering Plants,"Amaranth, seabeach",Seabeach amaranth,,Amaranthus pumilus,Listed,Region 4,1019,Wherever found,4,Southeast Region,P,Threatened
4349,Flowering Plants,No common name,No common name,,Schiedea viscosa,Listed,Region 1,1075,Wherever found,1,Pacific Region,P,Endangered
7947,Flowering Plants,"Milk-vetch, Fish Slough",Fish Slough milk-vetch,,Astragalus lentiginosus var. piscinensis,Listed,Region 8,887,Wherever found,8,Pacific Southwest Region,P,Threatened
7429,Flowering Plants,"Wallflower, Ben Lomond",Ben Lomond wallflower,,Erysimum teretifolium,Listed,Region 8,934,Wherever found,8,Pacific Southwest Region,P,Endangered
