Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABPR3,,Abrus precatorius L.,rosarypea,Fabaceae,Alabama
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,Fabaceae,Alabama
ABRUS,,Abrus Adans.,abrus,Fabaceae,Alabama
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Alabama
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Alabama
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Alabama
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Alabama
ACAL2,,Acalypha alopecuroidea Jacq.,foxtail copperleaf,Euphorbiaceae,Alabama
ACAL2,ACAR17,Acalypha aristata Kunth,,Euphorbiaceae,Alabama
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Alabama
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Alabama
ACAS,,Achyranthes aspera L.,devil's horsewhip,Amaranthaceae,Alabama
ACAS,ACCA37,Achyranthes canescens R. Br.,,Amaranthaceae,Alabama
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,Amaranthaceae,Alabama
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,Amaranthaceae,Alabama
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,Amaranthaceae,Alabama
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,Amaranthaceae,Alabama
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Alabama
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Alabama
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Alabama
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Alabama
ACER,,Acer L.,maple,Aceraceae,Alabama
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Alabama
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Alabama
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Alabama
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Alabama
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Alabama
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Alabama
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Alabama
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Alabama
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Alabama
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Alabama
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Alabama
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Alabama
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Alabama
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Alabama
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Alabama
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Alabama
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,Alabama
ACHIL,,Achillea L.,yarrow,Asteraceae,Alabama
ACHU,,Acanthospermum humile (Sw.) DC.,low starbur,Asteraceae,Alabama
ACHU,MEHU5,Melampodium humile Sw.,,Asteraceae,Alabama
