Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae,Alaska
ABIES,,Abies Mill.,fir,Pinaceae,Alaska
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Alaska
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Alaska
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Alaska
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Alaska
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Alaska
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Alaska
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Alaska
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Alaska
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Alaska
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Alaska
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Alaska
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Alaska
ACCI,,Acer circinatum Pursh,vine maple,Aceraceae,Alaska
ACDE2,,Aconitum delphiniifolium DC.,larkspurleaf monkshood,Ranunculaceae,Alaska
ACDEC,,Aconitum delphiniifolium DC. ssp. chamissonianum (Rchb.) Hultén,larkspurleaf monkshood,Ranunculaceae,Alaska
ACDED3,,Aconitum delphiniifolium DC. ssp. delphiniifolium,larkspurleaf monkshood,Ranunculaceae,Alaska
ACDED3,ACDEA,Aconitum delphiniifolium DC. var. albiflorum A.E. Porsild,,Ranunculaceae,Alaska
ACDEP,,Aconitum delphiniifolium DC. ssp. paradoxum (Rchb.) Hultén,larkspurleaf monkshood,Ranunculaceae,Alaska
ACDEP,ACNI3,Aconitum nivatum A. Nelson,,Ranunculaceae,Alaska
ACER,,Acer L.,maple,Aceraceae,Alaska
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,Alaska
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Aceraceae,Alaska
ACGLD4,ACDO,Acer douglasii Hook.,,Aceraceae,Alaska
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,,Aceraceae,Alaska
ACHIL,,Achillea L.,yarrow,Asteraceae,Alaska
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,Alaska
ACMA4,,Aconitum maximum Pall. ex DC.,Kamchatka aconite,Ranunculaceae,Alaska
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Alaska
ACMIA,,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Asteraceae,Alaska
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,,Asteraceae,Alaska
ACMIA,ACFU,Achillea fusca Rydb.,,Asteraceae,Alaska
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,,Asteraceae,Alaska
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,,Asteraceae,Alaska
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,,Asteraceae,Alaska
ACMIA,ACSU3,Achillea subalpina Greene,,Asteraceae,Alaska
