Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAB,,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indianmallow,Malvaceae,Arizona
ABAB,ABAM5,Abutilon americanum (L.) Sweet,,Malvaceae,Arizona
ABAB,ABJA,Abutilon jacquinii G. Don,,Malvaceae,Arizona
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,,Malvaceae,Arizona
ABAN,,Abronia angustifolia Greene,purple sand-verbena,Nyctaginaceae,Arizona
ABAN,ABANA,Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles,,Nyctaginaceae,Arizona
ABAN,ABTO,Abronia torreyi Standl.,,Nyctaginaceae,Arizona
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Arizona
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Arizona
ABEL,,Abronia elliptica A. Nelson,fragrant white sand-verbena,Nyctaginaceae,Arizona
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,,Nyctaginaceae,Arizona
ABEL,ABPU2,Abronia pumila Rydb.,,Nyctaginaceae,Arizona
ABEL,ABRA,Abronia ramosa Standl.,,Nyctaginaceae,Arizona
ABEL,ABSA3,Abronia salsa Rydb.,,Nyctaginaceae,Arizona
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand-verbena,Nyctaginaceae,Arizona
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Arizona
ABIES,,Abies Mill.,Abies,Pinaceae,Arizona
ABIN,,Abutilon incanum (Link) Sweet,orange Indianmallow,Malvaceae,Arizona
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,,Malvaceae,Arizona
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,,Malvaceae,Arizona
ABIN,ABPR4,Abutilon pringlei Hochr.,,Malvaceae,Arizona
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Arizona
ABLAA,,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir,Pinaceae,Arizona
ABLAA,ABAR2,Abies arizonica Merriam,,Pinaceae,Arizona
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Arizona
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Arizona
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Arizona
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Arizona
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Arizona
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Arizona
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Arizona
ABMA3,,Abutilon malacum S. Watson,yellow Indianmallow,Malvaceae,Arizona
ABMO2,,Abutilon mollicomum (Willd.) Sweet,Sonoran Indianmallow,Malvaceae,Arizona
ABMO2,ABSO,Abutilon sonorae A. Gray,,Malvaceae,Arizona
ABNA,,Abronia nana S. Watson,dwarf sand-verbena,Nyctaginaceae,Arizona
ABNAN,,Abronia nana S. Watson var. nana,dwarf sand-verbena,Nyctaginaceae,Arizona
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. Jones,,Nyctaginaceae,Arizona
ABPA,,Abutilon palmeri A. Gray,Palmer Indianmallow,Malvaceae,Arizona
ABPA2,,Abutilon parishii S. Watson,Parish Indianmallow,Malvaceae,Arizona
ABPA3,,Abutilon parvulum A. Gray,dwarf Indianmallow,Malvaceae,Arizona
ABRE,,Abutilon reventum S. Watson,yellowflower Indianmallow,Malvaceae,Arizona
ABRON,,Abronia Juss.,Abronia,Nyctaginaceae,Arizona
ABTH,,Abutilon theophrasti Medik.,velvetleaf Indianmallow,Malvaceae,Arizona
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Arizona
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Arizona
ABTH2,,Abutilon thurberi A. Gray,Thurber Indianmallow,Malvaceae,Arizona
ABUTI,,Abutilon Mill.,Abutilon,Malvaceae,Arizona
ABVI,,Abronia villosa S. Watson,desert sand-verbena,Nyctaginaceae,Arizona
ABVIA,,Abronia villosa S. Watson var. aurita (Abrams) Jeps.,desert sand verbena,Nyctaginaceae,Arizona
ABVIA,ABPI2,Abronia pinetorum Abrams,,Nyctaginaceae,Arizona
ABVIV,,Abronia villosa S. Watson var. villosa,desert sand-verbena,Nyctaginaceae,Arizona
ACACI,,Acacia Mill.,Acacia,Fabaceae,Arizona
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Arizona
ACALY,,Acalypha L.,Acalypha,Euphorbiaceae,Arizona
ACAMP,,Acamptopappus (A. Gray) A. Gray,Acamptopappus,Asteraceae,Arizona
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Arizona
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Arizona
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Arizona
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Arizona
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Arizona
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Arizona
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Arizona
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Arizona
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Arizona
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Arizona
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,Arizona
ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,Poaceae,Arizona
ACAR14,STAR2,Stipa arida M.E. Jones,,Poaceae,Arizona
ACAR18,,Actaea arizonica (S. Watson) J. Compton,Arizona bugbane,Ranunculaceae,Arizona
ACAR18,CIAR,Cimicifuga arizonica S. Watson,,Ranunculaceae,Arizona
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Arizona
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],achnatherum,Poaceae,Arizona
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Poaceae,Arizona
ACBL,STBL4,Stipa bloomeri Bol.,,Poaceae,Arizona
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,Poaceae,Arizona
ACCA3,,Acalypha californica Benth.,Pringle threeseed mercury,Euphorbiaceae,Arizona
ACCA3,ACPR,Acalypha pringlei S. Watson,,Euphorbiaceae,Arizona
ACCO3,,Achyronychia cooperi Torr. & A. Gray,Cooper frostmat,Caryophyllaceae,Arizona
ACCO4,,Aconitum columbianum Nutt.,Columbian monkshood,Ranunculaceae,Arizona
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae,Arizona
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae,Arizona
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,Arizona
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,Arizona
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,Arizona
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,Arizona
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,Arizona
ACEM4,,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass,Poaceae,Arizona
ACEM4,STEM2,Stipa eminens Cav.,,Poaceae,Arizona
ACER,,Acer L.,Acer,Aceraceae,Arizona
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,Arizona
ACGLD3,,Acer glabrum Torr. var. diffusum (Greene) Smiley,Rocky Mountain maple,Aceraceae,Arizona
ACGLD3,ACDI,Acer diffusum Greene,,Aceraceae,Arizona
ACGLD3,ACGLD,Acer glabrum Torr. ssp. diffusum (Greene) A.E. Murray,,Aceraceae,Arizona
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,Arizona
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae,Arizona
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae,Arizona
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae,Arizona
ACGLN2,,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple,Aceraceae,Arizona
ACGLN2,ACGLN,Acer glabrum Torr. ssp. neomexicanum (Greene) A.E. Murray,,Aceraceae,Arizona
ACGLN2,ACGLP,Acer glabrum Torr. var. parviflorum A.E. Murray,,Aceraceae,Arizona
ACGLN2,ACNE6,Acer neomexicanum Greene,,Aceraceae,Arizona
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae,Arizona
ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae,Arizona
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,,Aceraceae,Arizona
ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,,Aceraceae,Arizona
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl.,,Aceraceae,Arizona
ACGRS,,Acer grandidentatum Nutt. var. sinuosum (Rehder) Little,canyon maple,Aceraceae,Arizona
ACGRS,ACBR,Acer brachypterum Wooton & Standl.,,Aceraceae,Arizona
ACGRS,ACGRB,Acer grandidentatum Nutt. var. brachypterum (Wooton & Standl.) Palmer,,Aceraceae,Arizona
ACGRS,ACSAB,Acer saccharum Marshall ssp. brachypterum (Wooton & Standl.) A.E. Murray,,Aceraceae,Arizona
ACGRS,ACSAS3,Acer saccharum Marshall var. sinuosum (Rehder) Sarg.,,Aceraceae,Arizona
ACGRS,ACSI3,Acer sinuosum Rehder,,Aceraceae,Arizona
ACHIL,,Achillea L.,Achillea,Asteraceae,Arizona
ACHNA,,Achnatherum P. Beauv.,Achnatherum,Poaceae,Arizona
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,Arizona
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,Arizona
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,Arizona
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,Arizona
ACHYR3,,Achyronychia Torr. & A. Gray,Achyronychia,Caryophyllaceae,Arizona
ACIN2,,Aconitum infectum Greene,Arizona monkshood,Ranunculaceae,Arizona
ACLE8,,Achnatherum lemmonii (Vasey) Barkworth,Lemmon needlegrass,Poaceae,Arizona
ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman needlegrass,Poaceae,Arizona
ACLE9,STLE4,Stipa lettermanii Vasey,,Poaceae,Arizona
ACLEI,,Acleisanthes A. Gray,Acleisanthes,Nyctaginaceae,Arizona
ACLEL,,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Lemmon needlegrass,Poaceae,Arizona
ACLEL,ACLEL2,Achnatherum lemmonii (Vasey) Barkworth ssp. lemmonii,,Poaceae,Arizona
ACLEL,STLE2,Stipa lemmonii (Vasey) Scribn.,,Poaceae,Arizona
ACLEL,STLEJ,Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn.,,Poaceae,Arizona
ACLEL,STLEL,Stipa lemmonii (Vasey) Scribn. var. lemmonii,,Poaceae,Arizona
ACLO2,,Acleisanthes longiflora A. Gray,angel trumpets,Nyctaginaceae,Arizona
ACLO7,,Achnatherum lobatum (Swallen) Barkworth,littleawn needlegrass,Poaceae,Arizona
ACLO7,STLO3,Stipa lobata Swallen,,Poaceae,Arizona
ACME7,,Acalypha mexicana Müll. Arg.,Mexican copperleaf,Euphorbiaceae,Arizona
ACME7,ACINM,Acalypha indica L. var. mexicana (Müll. Arg.) Pax & K. Hoffm.,,Euphorbiaceae,Arizona
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Arizona
ACMIA,,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Asteraceae,Arizona
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,,Asteraceae,Arizona
ACMIA,ACFU,Achillea fusca Rydb.,,Asteraceae,Arizona
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,,Asteraceae,Arizona
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,,Asteraceae,Arizona
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,,Asteraceae,Arizona
ACMIA,ACSU3,Achillea subalpina Greene,,Asteraceae,Arizona
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Arizona
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Arizona
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Arizona
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Arizona
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Arizona
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Arizona
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Arizona
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Arizona
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Arizona
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Arizona
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Arizona
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Arizona
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Arizona
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Arizona
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Arizona
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Arizona
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Arizona
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Arizona
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Arizona
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Arizona
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Arizona
ACNA2,,Acourtia nana (A. Gray) Reveal & R.M. King,desert-holly,Asteraceae,Arizona
ACNA2,PENA5,Perezia nana A. Gray,,Asteraceae,Arizona
