Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR3,,Abutilon fruticosum Guill. & Perr.,Texas Indian mallow,Malvaceae,Arkansas
ABFR3,ABTE,Abutilon texense Torr. & A. Gray,,Malvaceae,Arkansas
ABPR3,,Abrus precatorius L.,rosarypea,Fabaceae,Arkansas
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,Fabaceae,Arkansas
ABRUS,,Abrus Adans.,abrus,Fabaceae,Arkansas
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Arkansas
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Arkansas
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Arkansas
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Arkansas
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Arkansas
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Arkansas
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Arkansas
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Arkansas
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Arkansas
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Arkansas
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Arkansas
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Arkansas
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Arkansas
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Arkansas
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Arkansas
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Arkansas
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,Arkansas
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Arkansas
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Arkansas
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Arkansas
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Arkansas
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Arkansas
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Arkansas
ACCH5,,Actinidia chinensis Planch.,kiwi,Actinidiaceae,Arkansas
ACCHD,,Actinidia chinensis Planch. var. deliciosa (A. Chev.) A. Chev.,kiwi,Actinidiaceae,Arkansas
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Arkansas
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Arkansas
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Arkansas
ACER,,Acer L.,maple,Aceraceae,Arkansas
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Arkansas
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Arkansas
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Arkansas
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Arkansas
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Arkansas
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Arkansas
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Arkansas
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Arkansas
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Arkansas
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Arkansas
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Arkansas
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Arkansas
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Arkansas
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Arkansas
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Arkansas
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Arkansas
ACHIL,,Achillea L.,yarrow,Asteraceae,Arkansas
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,Arkansas
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,Arkansas
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,Arkansas
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,Arkansas
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,Arkansas
ACLE,,Acer leucoderme Small,chalk maple,Aceraceae,Arkansas
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae,Arkansas
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae,Arkansas
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Small) Rehder,,Aceraceae,Arkansas
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,,Aceraceae,Arkansas
ACMEL,,Acmella Rich. ex Pers.,spotflower,Asteraceae,Arkansas
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Arkansas
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Arkansas
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Arkansas
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Arkansas
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Arkansas
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Arkansas
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Arkansas
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Arkansas
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Arkansas
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Arkansas
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Arkansas
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Arkansas
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Arkansas
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Arkansas
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Arkansas
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Arkansas
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Arkansas
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Arkansas
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Arkansas
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Arkansas
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Arkansas
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Arkansas
ACMO4,,Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi,slender threeseed mercury,Euphorbiaceae,Arkansas
ACMO4,ACGRM2,Acalypha gracilens A. Gray ssp. monococca (Engelm. ex A. Gray) G.L. Webster,,Euphorbiaceae,Arkansas
ACMO4,ACGRM,Acalypha gracilens A. Gray var. monococca Engelm. ex A. Gray,,Euphorbiaceae,Arkansas
ACMO4,ACVIM,Acalypha virginica L. var. monococca (Engelm. ex A. Gray) Müll. Arg.,,Euphorbiaceae,Arkansas
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Arkansas
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Arkansas
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Arkansas
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Arkansas
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Arkansas
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Aceraceae,Arkansas
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae,Arkansas
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Arkansas
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Arkansas
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Arkansas
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Arkansas
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Arkansas
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Arkansas
ACOP,,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,Asteraceae,Arkansas
ACOPR,,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower,Asteraceae,Arkansas
ACOPR,ACRE6,Acmella repens (Walter) Rich.,,Asteraceae,Arkansas
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,,Asteraceae,Arkansas
