Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Connecticut
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Connecticut
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Connecticut
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Connecticut
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Connecticut
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Connecticut
ABIES,,Abies Mill.,fir,Pinaceae,Connecticut
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Connecticut
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Connecticut
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Connecticut
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Connecticut
ACAG3,,Achillea ageratum L.,sweet-Nancy,Asteraceae,Connecticut
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Connecticut
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Connecticut
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Connecticut
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Connecticut
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Connecticut
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Connecticut
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Connecticut
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Connecticut
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Connecticut
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Connecticut
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Connecticut
ACER,,Acer L.,maple,Aceraceae,Connecticut
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Connecticut
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Connecticut
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Connecticut
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Connecticut
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Connecticut
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Connecticut
ACHIL,,Achillea L.,yarrow,Asteraceae,Connecticut
ACINO,,Acinos Mill.,acinos,Lamiaceae,Connecticut
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Connecticut
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Connecticut
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Connecticut
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Connecticut
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Connecticut
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Connecticut
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Connecticut
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Connecticut
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Connecticut
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Connecticut
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Connecticut
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Connecticut
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Connecticut
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Connecticut
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Connecticut
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Connecticut
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Connecticut
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Connecticut
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Connecticut
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Connecticut
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Connecticut
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Connecticut
ACNA,,Aconitum napellus L.,Venus' chariot,Ranunculaceae,Connecticut
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Connecticut
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Connecticut
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Connecticut
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Connecticut
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Connecticut
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Connecticut
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,Connecticut
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Connecticut
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Connecticut
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Connecticut
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Connecticut
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Connecticut
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Connecticut
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Connecticut
ACORU,,Acorus L.,sweetflag,Acoraceae,Connecticut
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Connecticut
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Connecticut
ACPA2,,Acer palmatum Thunb.,Japanese maple,Aceraceae,Connecticut
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Connecticut
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Connecticut
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Connecticut
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae,Connecticut
ACPT,,Achillea ptarmica L.,sneezeweed,Asteraceae,Connecticut
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,Connecticut
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,Connecticut
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,Connecticut
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Connecticut
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Connecticut
ACRU,,Acer rubrum L.,red maple,Aceraceae,Connecticut
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Connecticut
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,Connecticut
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Connecticut
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Connecticut
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,Connecticut
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,Connecticut
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,Ranunculaceae,Connecticut
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,,Ranunculaceae,Connecticut
