Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Delaware
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Delaware
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Delaware
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Delaware
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Delaware
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Delaware
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Delaware
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Delaware
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Delaware
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Delaware
ACER,,Acer L.,maple,Aceraceae,Delaware
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Delaware
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Delaware
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Delaware
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Delaware
ACHIL,,Achillea L.,yarrow,Asteraceae,Delaware
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Delaware
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Delaware
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Delaware
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Delaware
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Delaware
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Delaware
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Delaware
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Delaware
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Delaware
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Delaware
