Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABELI,,Abelia R. Br.,abelia,Caprifoliaceae,Florida
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Florida
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Florida
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Florida
ABGR4,,Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora],glossy abelia,Caprifoliaceae,Florida
ABHI,,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,Malvaceae,Florida
ABHU,,Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,mauve,Malvaceae,Florida
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,,Malvaceae,Florida
ABHU,ABPA4,Abutilon pauciflorum Sweet,,Malvaceae,Florida
ABILD,,Abildgaardia Vahl,sedge,Cyperaceae,Florida
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,Cyperaceae,Florida
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,Cyperaceae,Florida
ABOV,CYMO10,Cyperus monostachyos L.,,Cyperaceae,Florida
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,Cyperaceae,Florida
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,Cyperaceae,Florida
ABPE,,Abutilon permolle (Willd.) Sweet,coastal Indian mallow,Malvaceae,Florida
ABPR3,,Abrus precatorius L.,rosarypea,Fabaceae,Florida
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,Fabaceae,Florida
ABRUS,,Abrus Adans.,abrus,Fabaceae,Florida
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Florida
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Florida
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Florida
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Florida
ACACI,,Acacia Mill.,acacia,Fabaceae,Florida
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Florida
ACAL2,,Acalypha alopecuroidea Jacq.,foxtail copperleaf,Euphorbiaceae,Florida
ACAL2,ACAR17,Acalypha aristata Kunth,,Euphorbiaceae,Florida
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Florida
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Florida
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Florida
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Florida
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Florida
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Florida
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Florida
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Florida
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Florida
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Florida
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Florida
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,Florida
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Florida
ACANT6,,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus,Cactaceae,Florida
ACAR16,,Acalypha arvensis Poepp.,field copperleaf,Euphorbiaceae,Florida
ACAR16,ACAR19,Acalypha aristata auct. non Kunth,,Euphorbiaceae,Florida
ACAS,,Achyranthes aspera L.,devil's horsewhip,Amaranthaceae,Florida
ACAS,ACCA37,Achyranthes canescens R. Br.,,Amaranthaceae,Florida
