Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAU,,Abutilon auritum (Wall. ex Link) Sweet,Asian Indian mallow,Malvaceae,Hawaii
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Hawaii
ABER,,Abutilon eremitopetalum Caum,hiddenpetal Indian mallow,Malvaceae,Hawaii
ABGR3,,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow,Malvaceae,Hawaii
ABIN,,Abutilon incanum (Link) Sweet,pelotazo,Malvaceae,Hawaii
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,,Malvaceae,Hawaii
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,,Malvaceae,Hawaii
ABIN,ABPR4,Abutilon pringlei Hochr.,,Malvaceae,Hawaii
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,Malvaceae,Hawaii
ABME2,,Abutilon menziesii Seem.,ko'oloa 'ula,Malvaceae,Hawaii
ABMO,,Abelmoschus moschatus Medik.,musk okra,Malvaceae,Hawaii
ABMO,HIAB,Hibiscus abelmoschus L.,,Malvaceae,Hawaii
ABPR3,,Abrus precatorius L.,rosarypea,Fabaceae,Hawaii
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,Fabaceae,Hawaii
ABRUS,,Abrus Adans.,abrus,Fabaceae,Hawaii
ABSA2,,Abutilon sandwicense (O. Deg.) Christoph.,greenflower Indian mallow,Malvaceae,Hawaii
ABSA2,ABSA4,Abortopetalum sandwicense O. Deg.,,Malvaceae,Hawaii
ABSA2,ABSAW,Abutilon sandwicense (O. Deg.) Christoph. var. welchii Christoph.,,Malvaceae,Hawaii
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Hawaii
ACACI,,Acacia Mill.,acacia,Fabaceae,Hawaii
ACAEN,,Acaena Mutis ex L.,acaena,Rosaceae,Hawaii
ACAN10,,Acacia aneura F. Muell. ex Benth.,mulga,Fabaceae,Hawaii
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Hawaii
ACANT6,,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus,Cactaceae,Hawaii
ACAS,,Achyranthes aspera L.,devil's horsewhip,Amaranthaceae,Hawaii
ACAS,ACCA37,Achyranthes canescens R. Br.,,Amaranthaceae,Hawaii
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,Amaranthaceae,Hawaii
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,Amaranthaceae,Hawaii
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,Amaranthaceae,Hawaii
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,Amaranthaceae,Hawaii
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,Amaranthaceae,Hawaii
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Hawaii
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Hawaii
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Hawaii
ACAU3,,Acrostichum aureum L.,golden leatherfern,Pteridaceae,Hawaii
ACCO,,Acacia confusa Merr.,small Philippine acacia,Fabaceae,Hawaii
ACEX,,Acaena exigua A. Gray,liliwai,Rosaceae,Hawaii
ACEX,ACEXG,Acaena exigua A. Gray var. glaberrima Bitter,,Rosaceae,Hawaii
ACEX,ACEXG2,Acaena exigua A. Gray var. glabriuscula Bitter,,Rosaceae,Hawaii
ACEX,ACEXS,Acaena exigua A. Gray var. subtusstrigulosa Bitter,,Rosaceae,Hawaii
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,Hawaii
ACHIL,,Achillea L.,yarrow,Asteraceae,Hawaii
ACHYR2,,Achyranthes L.,chaff flower,Amaranthaceae,Hawaii
ACKO,,Acacia koa A. Gray,koa,Fabaceae,Hawaii
ACKO,ACKA,Acacia kauaiensis Hillebr.,,Fabaceae,Hawaii
ACKO,ACKOH,Acacia koa A. Gray var. hawaiiensis Rock,,Fabaceae,Hawaii
ACKO,ACKOL,Acacia koa A. Gray var. lanaiensis Rock,,Fabaceae,Hawaii
ACKO,ACKOW,Acacia koa A. Gray var. waimeae Hochr.,,Fabaceae,Hawaii
ACKO2,,Acacia koaia Hillebr.,koaoha,Fabaceae,Hawaii
ACME,,Acacia melanoxylon R. Br.,blackwood,Fabaceae,Hawaii
ACME80,,Acacia mearnsii De Wild.,black wattle,Fabaceae,Hawaii
ACME80,ACDEM,Acacia decurrens (Wendl. f.) Willd. var. mollis Lindl.,,Fabaceae,Hawaii
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Hawaii
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Hawaii
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Hawaii
ACMU2,,Achyranthes mutica A. Gray,blunt chaff flower,Amaranthaceae,Hawaii
ACMU2,ACNE3,Achyranthes nelsonii H. St. John,,Amaranthaceae,Hawaii
ACPA81,,Acacia parramattensis Tindale,South Wales wattle,Fabaceae,Hawaii
ACROS,,Acrostichum L.,leatherfern,Pteridaceae,Hawaii
ACSP3,,Achyranthes splendens Mart. ex Moq.,Maui chaff flower,Amaranthaceae,Hawaii
ACSPA2,,Achyranthes splendens Mart. ex Moq. var. atollensis (H. St. John) Govaerts,,Amaranthaceae,Hawaii
ACSPA2,ACAT,Achyranthes atollensis H. St. John,,Amaranthaceae,Hawaii
ACSPR2,,Achyranthes splendens Mart. ex Moq. var. rotundata Hillebr.,Maui chaff flower,Amaranthaceae,Hawaii
ACSPR2,ACSPR,Achyranthes splendens Mart. ex Moq. var. reflecta Hillebr.,,Amaranthaceae,Hawaii
ACSPS,,Achyranthes splendens Mart. ex Moq. var. splendens,Maui chaff flower,Amaranthaceae,Hawaii
ACTE4,,Acanthocereus tetragonus (L.) Humm.,triangle cactus,Cactaceae,Hawaii
ACTE4,ACFL3,Acanthocereus floridanus Small ex Britton & Rose,,Cactaceae,Hawaii
ACTE4,ACPE5,Acanthocereus pentagonus (L.) Britton & Rose,,Cactaceae,Hawaii
ACTE4,CATE30,Cactus tetragonus L.,,Cactaceae,Hawaii
ACTE4,CEPE4,Cereus pentagonus (L.) Haw.,,Cactaceae,Hawaii
