Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Idaho
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Idaho
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,Idaho
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba,,Pinaceae,Idaho
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,,Pinaceae,Idaho
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba,,Pinaceae,Idaho
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews,,Pinaceae,Idaho
ABIES,,Abies Mill.,fir,Pinaceae,Idaho
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Idaho
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Idaho
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Idaho
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Idaho
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Idaho
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Idaho
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Idaho
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Idaho
ABME,,Abronia mellifera Douglas ex Hook.,white sand verbena,Nyctaginaceae,Idaho
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Idaho
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Idaho
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Idaho
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Idaho
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Idaho
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Idaho
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Idaho
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Idaho
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Idaho
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Idaho
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Idaho
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Idaho
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Idaho
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Idaho
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],,Poaceae,Idaho
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Poaceae,Idaho
ACBL,STBL4,Stipa bloomeri Bol.,,Poaceae,Idaho
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,Poaceae,Idaho
ACCO4,,Aconitum columbianum Nutt.,Columbian monkshood,Ranunculaceae,Idaho
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae,Idaho
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae,Idaho
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,Idaho
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,Idaho
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,Idaho
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,Idaho
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,Idaho
ACER,,Acer L.,maple,Aceraceae,Idaho
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,Idaho
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Aceraceae,Idaho
ACGLD4,ACDO,Acer douglasii Hook.,,Aceraceae,Idaho
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,,Aceraceae,Idaho
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,Idaho
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae,Idaho
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae,Idaho
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae,Idaho
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae,Idaho
ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae,Idaho
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,,Aceraceae,Idaho
ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,,Aceraceae,Idaho
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl.,,Aceraceae,Idaho
ACHE10,,Achnatherum hendersonii (Vasey) Barkworth,Henderson's needlegrass,Poaceae,Idaho
ACHE10,ORHE,Oryzopsis hendersonii Vasey,,Poaceae,Idaho
ACHE10,STHE5,Stipa hendersonii (Vasey) Muhl.,,Poaceae,Idaho
ACHIL,,Achillea L.,yarrow,Asteraceae,Idaho
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,Idaho
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,Idaho
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,Idaho
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,Idaho
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,Idaho
ACINO,,Acinos Mill.,acinos,Lamiaceae,Idaho
