Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Illinois
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Illinois
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Illinois
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Illinois
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Illinois
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Illinois
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Illinois
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Illinois
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Illinois
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Illinois
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Illinois
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Illinois
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Illinois
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Illinois
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Illinois
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Illinois
ACER,,Acer L.,maple,Aceraceae,Illinois
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Illinois
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Illinois
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Illinois
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Illinois
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Illinois
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Illinois
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Illinois
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Illinois
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Illinois
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Illinois
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Illinois
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Illinois
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Illinois
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Illinois
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Illinois
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Illinois
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Illinois
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Illinois
ACHIL,,Achillea L.,yarrow,Asteraceae,Illinois
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Illinois
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Illinois
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Illinois
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Illinois
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Illinois
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Illinois
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Illinois
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Illinois
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Illinois
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Illinois
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Illinois
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Illinois
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Illinois
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Illinois
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Illinois
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Illinois
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Illinois
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Illinois
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Illinois
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Illinois
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Illinois
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Illinois
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Illinois
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Illinois
ACMO4,,Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi,slender threeseed mercury,Euphorbiaceae,Illinois
ACMO4,ACGRM2,Acalypha gracilens A. Gray ssp. monococca (Engelm. ex A. Gray) G.L. Webster,,Euphorbiaceae,Illinois
ACMO4,ACGRM,Acalypha gracilens A. Gray var. monococca Engelm. ex A. Gray,,Euphorbiaceae,Illinois
ACMO4,ACVIM,Acalypha virginica L. var. monococca (Engelm. ex A. Gray) Müll. Arg.,,Euphorbiaceae,Illinois
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Illinois
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Illinois
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Illinois
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Illinois
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Illinois
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Illinois
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,Illinois
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Illinois
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Illinois
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Illinois
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Illinois
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Illinois
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Illinois
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Illinois
ACORU,,Acorus L.,sweetflag,Acoraceae,Illinois
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,Illinois
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,Illinois
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Illinois
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Illinois
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Illinois
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Illinois
ACPO11,,Actaea podocarpa DC.,mountain bugbane,Ranunculaceae,Illinois
ACPO11,ACCO25,Actaea cordifolia DC.,,Ranunculaceae,Illinois
ACPO11,CIAM,Cimicifuga americana Michx.,,Ranunculaceae,Illinois
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,,Ranunculaceae,Illinois
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifolia (DC.) A. Gray,,Ranunculaceae,Illinois
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae,Illinois
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,Illinois
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,Illinois
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,Illinois
ACRE3,,Acroptilon repens (L.) DC.,hardheads,Asteraceae,Illinois
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,,Asteraceae,Illinois
ACRE3,CERE6,Centaurea repens L.,,Asteraceae,Illinois
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Illinois
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Illinois
ACROP,,Acroptilon Cass.,hardheads,Asteraceae,Illinois
ACRU,,Acer rubrum L.,red maple,Aceraceae,Illinois
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Illinois
ACRU14,,Actaea rubifolia (Kearney) Kartesz,Appalachian bugbane,Ranunculaceae,Illinois
ACRU14,ACCO26,Actaea cordifolia auct. non DC.,,Ranunculaceae,Illinois
ACRU14,CICO4,Cimicifuga cordifolia auct. non (DC.) Torr. & A. Gray,,Ranunculaceae,Illinois
ACRU14,CIRAC3,Cimicifuga racemosa (L.) Nutt. var. cordifolia auct. non (DC.) A. Gray,,Ranunculaceae,Illinois
ACRU14,CIRU,Cimicifuga rubifolia Kearney,,Ranunculaceae,Illinois
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,Illinois
ACRUD,,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple,Aceraceae,Illinois
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,,Aceraceae,Illinois
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ex Nutt.) A.E. Murray,,Aceraceae,Illinois
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Small,,Aceraceae,Illinois
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Illinois
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Illinois
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,Illinois
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,Illinois
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,Ranunculaceae,Illinois
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,,Ranunculaceae,Illinois
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,,Ranunculaceae,Illinois
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,Illinois
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,Illinois
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,Illinois
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,Illinois
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,Illinois
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,Illinois
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,Illinois
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,Illinois
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,Illinois
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae,Illinois
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae,Illinois
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae,Illinois
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae,Illinois
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae,Illinois
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae,Illinois
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae,Illinois
ACSAS2,,Acer saccharum Marshall var. schneckii Rehder,sugar maple,Aceraceae,Illinois
ACSAS2,ACSAO,Acer saccharum Marshall ssp. ozarkense A.E. Murray,,Aceraceae,Illinois
ACSAS2,ACSAS4,Acer saccharum Marshall ssp. schneckii (Rehder) Desmarais,,Aceraceae,Illinois
ACTAE,,Actaea L.,baneberry,Ranunculaceae,Illinois
ACUN,,Aconitum uncinatum L.,southern blue monkshood,Ranunculaceae,Illinois
ACUNU,,Aconitum uncinatum L. ssp. uncinatum,southern blue monkshood,Ranunculaceae,Illinois
ACUNU,ACUNA,Aconitum uncinatum L. var. acutidens Fernald,,Ranunculaceae,Illinois
ACVI,,Acalypha virginica L.,Virginia threeseed mercury,Euphorbiaceae,Illinois
ADFU,,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Fumariaceae,Illinois
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,Illinois
ADLUM,,Adlumia Raf. ex DC.,adlumia,Fumariaceae,Illinois
ADMO,,Adoxa moschatellina L.,muskroot,Adoxaceae,Illinois
ADOXA,,Adoxa L.,adoxa,Adoxaceae,Illinois
ADPE,,Adiantum pedatum L.,northern maidenhair,Pteridaceae,Illinois
AECY,,Aegilops cylindrica Host,jointed goatgrass,Poaceae,Illinois
AECY,AECYR,Aegilops cylindrica Host var. rubiginosa Popova,,Poaceae,Illinois
AECY,AETA3,Aegilops tauschii auct. non Coss.,,Poaceae,Illinois
AECY,CYCY5,Cylindropyrum cylindricum (Host) Á. Löve,,Poaceae,Illinois
AECY,TRCY3,"Triticum cylindricum (Host) Ces., Pass. & Gibelli",,Poaceae,Illinois
AECY2,,Aethusa cynapium L.,fool's parsley,Apiaceae,Illinois
AEFL,,Aesculus flava Aiton,yellow buckeye,Hippocastanaceae,Illinois
AEFL,AEOC2,Aesculus octandra Marshall,,Hippocastanaceae,Illinois
AEFL,AEOCV,Aesculus octandra Marshall var. vestita Sarg.,,Hippocastanaceae,Illinois
AEFL,AEOCV2,Aesculus octandra Marshall var. virginica Sarg.,,Hippocastanaceae,Illinois
AEGIL,,Aegilops L.,goatgrass,Poaceae,Illinois
AEGL,,Aesculus glabra Willd.,Ohio buckeye,Hippocastanaceae,Illinois
AEGLG,,Aesculus glabra Willd. var. glabra,Ohio buckeye,Hippocastanaceae,Illinois
AEGLG,AEGLL,Aesculus glabra Willd. var. leucodermis Sarg.,,Hippocastanaceae,Illinois
AEGLG,AEGLM,Aesculus glabra Willd. var. micrantha Sarg.,,Hippocastanaceae,Illinois
AEGLG,AEGLM2,Aesculus glabra Willd. var. monticola Sarg.,,Hippocastanaceae,Illinois
AEGLG,AEGLP,Aesculus glabra Willd. var. pallida (Willd.) G. Kirchn.,,Hippocastanaceae,Illinois
