Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Iowa
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Iowa
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Iowa
ABIES,,Abies Mill.,fir,Pinaceae,Iowa
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Iowa
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Iowa
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Iowa
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Iowa
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Iowa
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Iowa
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Iowa
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Iowa
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Iowa
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Iowa
ACCO4,,Aconitum columbianum Nutt.,Columbian monkshood,Ranunculaceae,Iowa
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae,Iowa
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae,Iowa
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,Iowa
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,Iowa
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,Iowa
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,Iowa
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,Iowa
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Iowa
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Iowa
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Iowa
ACER,,Acer L.,maple,Aceraceae,Iowa
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Iowa
