Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,Kansas
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Kansas
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Kansas
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Kansas
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Kansas
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Kansas
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Kansas
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Kansas
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Kansas
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Kansas
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Kansas
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Kansas
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Kansas
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Kansas
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Kansas
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Kansas
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Kansas
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Kansas
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Kansas
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,Kansas
