Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Louisiana
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Louisiana
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Louisiana
ABHU,,Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,mauve,Malvaceae,Louisiana
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,,Malvaceae,Louisiana
ABHU,ABPA4,Abutilon pauciflorum Sweet,,Malvaceae,Louisiana
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Louisiana
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Louisiana
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Louisiana
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Louisiana
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Louisiana
ACAL2,,Acalypha alopecuroidea Jacq.,foxtail copperleaf,Euphorbiaceae,Louisiana
ACAL2,ACAR17,Acalypha aristata Kunth,,Euphorbiaceae,Louisiana
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Louisiana
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Louisiana
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Louisiana
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Louisiana
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Louisiana
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Louisiana
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Louisiana
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Louisiana
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Louisiana
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Louisiana
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Louisiana
