Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Maryland
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Maryland
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Maryland
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Maryland
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Maryland
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Maryland
ABIES,,Abies Mill.,fir,Pinaceae,Maryland
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Maryland
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Maryland
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Maryland
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Maryland
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Maryland
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Maryland
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Maryland
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Maryland
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Maryland
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Maryland
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Maryland
ACAS,,Achyranthes aspera L.,devil's horsewhip,Amaranthaceae,Maryland
ACAS,ACCA37,Achyranthes canescens R. Br.,,Amaranthaceae,Maryland
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,Amaranthaceae,Maryland
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Maryland
ACER,,Acer L.,maple,Aceraceae,Maryland
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Maryland
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Maryland
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Maryland
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Maryland
ACHIL,,Achillea L.,yarrow,Asteraceae,Maryland
ACHYR2,,Achyranthes L.,chaff flower,Amaranthaceae,Maryland
ACINO,,Acinos Mill.,acinos,Lamiaceae,Maryland
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Maryland
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Maryland
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Maryland
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Maryland
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Maryland
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Maryland
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Maryland
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Maryland
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Maryland
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Maryland
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Maryland
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Maryland
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Maryland
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Maryland
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Maryland
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Maryland
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Maryland
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Maryland
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Maryland
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Maryland
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Maryland
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Maryland
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Maryland
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Maryland
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Maryland
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Maryland
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Maryland
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Maryland
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Maryland
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Maryland
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Maryland
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Maryland
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Maryland
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Maryland
ACORU,,Acorus L.,sweetflag,Acoraceae,Maryland
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Maryland
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Maryland
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Maryland
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Maryland
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Maryland
ACPO11,,Actaea podocarpa DC.,mountain bugbane,Ranunculaceae,Maryland
ACPO11,ACCO25,Actaea cordifolia DC.,,Ranunculaceae,Maryland
ACPO11,CIAM,Cimicifuga americana Michx.,,Ranunculaceae,Maryland
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,,Ranunculaceae,Maryland
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifolia (DC.) A. Gray,,Ranunculaceae,Maryland
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae,Maryland
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,Maryland
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,Maryland
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,Maryland
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Maryland
