Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Mississippi
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Mississippi
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Mississippi
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Mississippi
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Mississippi
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Mississippi
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Mississippi
ACACI,,Acacia Mill.,acacia,Fabaceae,Mississippi
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Mississippi
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Mississippi
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Mississippi
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Mississippi
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Mississippi
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Mississippi
ACER,,Acer L.,maple,Aceraceae,Mississippi
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Mississippi
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Mississippi
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Mississippi
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Mississippi
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Mississippi
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Mississippi
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Mississippi
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Mississippi
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Mississippi
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Mississippi
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Mississippi
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Mississippi
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Mississippi
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Mississippi
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Mississippi
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Mississippi
ACHIL,,Achillea L.,yarrow,Asteraceae,Mississippi
ACLE,,Acer leucoderme Small,chalk maple,Aceraceae,Mississippi
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae,Mississippi
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae,Mississippi
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Small) Rehder,,Aceraceae,Mississippi
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,,Aceraceae,Mississippi
ACMEL,,Acmella Rich. ex Pers.,spotflower,Asteraceae,Mississippi
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Mississippi
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Mississippi
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Mississippi
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Mississippi
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Mississippi
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Mississippi
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Mississippi
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Mississippi
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Mississippi
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Mississippi
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Mississippi
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Mississippi
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Mississippi
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Mississippi
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Mississippi
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Mississippi
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Mississippi
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Mississippi
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Mississippi
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Mississippi
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Mississippi
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Mississippi
