Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Missouri
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Missouri
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Missouri
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Missouri
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Missouri
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Missouri
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Missouri
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Missouri
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Missouri
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Missouri
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Missouri
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Missouri
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Missouri
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Missouri
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Missouri
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Missouri
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,Missouri
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Missouri
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Missouri
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Missouri
