Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,Montana
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Montana
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,Montana
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba,,Pinaceae,Montana
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,,Pinaceae,Montana
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba,,Pinaceae,Montana
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews,,Pinaceae,Montana
ABIES,,Abies Mill.,fir,Pinaceae,Montana
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Montana
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Montana
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Montana
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Montana
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Montana
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Montana
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Montana
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Montana
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Montana
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Montana
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Montana
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Montana
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Montana
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Montana
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Montana
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Montana
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Montana
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Montana
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Montana
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Montana
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Montana
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Montana
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],,Poaceae,Montana
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Poaceae,Montana
