Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Nevada
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Nevada
ABEL,,Abronia elliptica A. Nelson,fragrant white sandverbena,Nyctaginaceae,Nevada
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,,Nyctaginaceae,Nevada
ABEL,ABPU2,Abronia pumila Rydb.,,Nyctaginaceae,Nevada
ABEL,ABRA,Abronia ramosa Standl.,,Nyctaginaceae,Nevada
ABEL,ABSA3,Abronia salsa Rydb.,,Nyctaginaceae,Nevada
ABIES,,Abies Mill.,fir,Pinaceae,Nevada
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Nevada
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Nevada
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Nevada
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Nevada
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Nevada
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Nevada
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Nevada
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Nevada
ABLO,,Abies lowiana (Gordon & Glend.) A. Murray bis,California white fir,Pinaceae,Nevada
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon,,Pinaceae,Nevada
ABMA,,Abies magnifica A. Murray bis,California red fir,Pinaceae,Nevada
ABNA,,Abronia nana S. Watson,dwarf sandverbena,Nyctaginaceae,Nevada
ABNAC,,Abronia nana S. Watson var. covillei (Heimerl) Munz,Coville's dwarf sandverbena,Nyctaginaceae,Nevada
ABNAC,ABNAC2,Abronia nana S. Watson ssp. covillei (Heimerl) Munz,,Nyctaginaceae,Nevada
ABNAN,,Abronia nana S. Watson var. nana,dwarf sandverbena,Nyctaginaceae,Nevada
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. Jones,,Nyctaginaceae,Nevada
ABPA3,,Abutilon parvulum A. Gray,dwarf abutilon,Malvaceae,Nevada
ABPO,,Abronia pogonantha Heimerl,Mojave sand verbena,Nyctaginaceae,Nevada
ABRON,,Abronia Juss.,sandverbena,Nyctaginaceae,Nevada
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Nevada
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Nevada
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Nevada
ABTU,,Abronia turbinata Torr. ex S. Watson,transmontane sandverbena,Nyctaginaceae,Nevada
ABTU,ABEX,Abronia exalata Standl.,,Nyctaginaceae,Nevada
ABTU,ABOR2,Abronia orbiculata Standl.,,Nyctaginaceae,Nevada
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Nevada
ABVI,,Abronia villosa S. Watson,desert sandverbena,Nyctaginaceae,Nevada
ABVIV,,Abronia villosa S. Watson var. villosa,desert sandverbena,Nyctaginaceae,Nevada
ACAMP,,Acamptopappus (A. Gray) A. Gray,goldenhead,Asteraceae,Nevada
ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,arid needlegrass,Poaceae,Nevada
ACAR14,STAR2,Stipa arida M.E. Jones,,Poaceae,Nevada
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Nevada
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],Bloomer's ricegrass,Poaceae,Nevada
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Poaceae,Nevada
ACBL,STBL4,Stipa bloomeri Bol.,,Poaceae,Nevada
