Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,New Hampshire
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,New Hampshire
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,New Hampshire
ABBAP,,Abies balsamea (L.) Mill. var. phanerolepis Fernald,balsam fir,Pinaceae,New Hampshire
ABBAP,ABPH,Abies ×phanerolepis (Fernald) Liu,,Pinaceae,New Hampshire
ABIES,,Abies Mill.,fir,Pinaceae,New Hampshire
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,New Hampshire
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,New Hampshire
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,New Hampshire
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,New Hampshire
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,New Hampshire
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,New Hampshire
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,New Hampshire
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,New Hampshire
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,New Hampshire
ACCA4,,Acorus calamus L.,calamus,Acoraceae,New Hampshire
ACER,,Acer L.,maple,Aceraceae,New Hampshire
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,New Hampshire
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,New Hampshire
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,New Hampshire
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,New Hampshire
