Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAN,,Abronia angustifolia Greene,sand verbina (purple),Nyctaginaceae,New Mexico
ABAN,ABANA,Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles,,Nyctaginaceae,New Mexico
ABAN,ABTO,Abronia torreyi Standl.,,Nyctaginaceae,New Mexico
ABBI,,Abronia bigelovii Heimerl,Galisteo sand verbena,Nyctaginaceae,New Mexico
ABBO,,"Abronia bolackii N.D. Atwood, S.L. Welsh & K.D. Heil",Bolack's sand verbena,Nyctaginaceae,New Mexico
ABCA,,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,Nyctaginaceae,New Mexico
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,New Mexico
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,New Mexico
ABEL,,Abronia elliptica A. Nelson,fragrant white sand verbena,Nyctaginaceae,New Mexico
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,,Nyctaginaceae,New Mexico
ABEL,ABPU2,Abronia pumila Rydb.,,Nyctaginaceae,New Mexico
ABEL,ABRA,Abronia ramosa Standl.,,Nyctaginaceae,New Mexico
ABEL,ABSA3,Abronia salsa Rydb.,,Nyctaginaceae,New Mexico
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,New Mexico
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,New Mexico
ABIES,,Abies Mill.,fir,Pinaceae,New Mexico
ABIN,,Abutilon incanum (Link) Sweet,pelotazo,Malvaceae,New Mexico
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,,Malvaceae,New Mexico
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,,Malvaceae,New Mexico
ABIN,ABPR4,Abutilon pringlei Hochr.,,Malvaceae,New Mexico
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,New Mexico
ABLAA,,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir,Pinaceae,New Mexico
ABLAA,ABAR2,Abies arizonica Merriam,,Pinaceae,New Mexico
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,New Mexico
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,New Mexico
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,New Mexico
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,New Mexico
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,New Mexico
