Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR2,,Abronia fragrans Nutt. ex Hook.,SNOWBALL SANDVERBENA,Nyctaginaceae,Oklahoma
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Oklahoma
ABFR3,,Abutilon fruticosum Guill. & Perr.,Texas Indian mallow,Malvaceae,Oklahoma
ABFR3,ABTE,Abutilon texense Torr. & A. Gray,,Malvaceae,Oklahoma
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Oklahoma
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Oklahoma
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Oklahoma
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Oklahoma
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Oklahoma
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Oklahoma
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Oklahoma
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Oklahoma
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Oklahoma
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Oklahoma
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Oklahoma
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Oklahoma
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Oklahoma
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Oklahoma
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Oklahoma
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Oklahoma
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Oklahoma
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,Oklahoma
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Oklahoma
ACCA4,,Acorus calamus L.,SWEETFLAG,Acoraceae,Oklahoma
ACER,,Acer L.,maple,Aceraceae,Oklahoma
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Oklahoma
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Oklahoma
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Oklahoma
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Oklahoma
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Oklahoma
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Oklahoma
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Oklahoma
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Oklahoma
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Oklahoma
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Oklahoma
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Oklahoma
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Oklahoma
ACGR2,,Acalypha gracilens A. Gray,SLENDER COPPERLEAF,Euphorbiaceae,Oklahoma
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Oklahoma
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Oklahoma
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Oklahoma
ACHIL,,Achillea L.,yarrow,Asteraceae,Oklahoma
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,Oklahoma
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,INDIAN RICEGRASS,Poaceae,Oklahoma
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,Oklahoma
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,Oklahoma
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,Oklahoma
ACLE,,Acer leucoderme Small,CHALK MAPLE,Aceraceae,Oklahoma
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae,Oklahoma
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae,Oklahoma
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Small) Rehder,,Aceraceae,Oklahoma
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,,Aceraceae,Oklahoma
ACMEL,,Acmella Rich. ex Pers.,spotflower,Asteraceae,Oklahoma
ACMI2,,Achillea millefolium L.,Common yarrow,Asteraceae,Oklahoma
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Oklahoma
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Oklahoma
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Oklahoma
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Oklahoma
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Oklahoma
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Oklahoma
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Oklahoma
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Oklahoma
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Oklahoma
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Oklahoma
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Oklahoma
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Oklahoma
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Oklahoma
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Oklahoma
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Oklahoma
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Oklahoma
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Oklahoma
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Oklahoma
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Oklahoma
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Oklahoma
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Oklahoma
ACMO4,,Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi,slender threeseed mercury,Euphorbiaceae,Oklahoma
ACMO4,ACGRM2,Acalypha gracilens A. Gray ssp. monococca (Engelm. ex A. Gray) G.L. Webster,,Euphorbiaceae,Oklahoma
ACMO4,ACGRM,Acalypha gracilens A. Gray var. monococca Engelm. ex A. Gray,,Euphorbiaceae,Oklahoma
ACMO4,ACVIM,Acalypha virginica L. var. monococca (Engelm. ex A. Gray) Müll. Arg.,,Euphorbiaceae,Oklahoma
ACNE2,,Acer negundo L.,Boxelder,Aceraceae,Oklahoma
ACNEI2,,Acer negundo L. var. interius (Britton) Sarg.,boxelder,Aceraceae,Oklahoma
ACNEI2,ACIN3,Acer interius Britton,,Aceraceae,Oklahoma
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,Oklahoma
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,Oklahoma
ACNEI2,NEIN3,Negundo interius (Britton) Rydb.,,Aceraceae,Oklahoma
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Oklahoma
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Oklahoma
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Oklahoma
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Oklahoma
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Aceraceae,Oklahoma
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae,Oklahoma
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Oklahoma
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,Oklahoma
ACOP,,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,Asteraceae,Oklahoma
ACOPR,,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,CREEPING SPOTFLOWER,Asteraceae,Oklahoma
ACOPR,ACRE6,Acmella repens (Walter) Rich.,,Asteraceae,Oklahoma
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,,Asteraceae,Oklahoma
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron. var. repens (Walter) A.H. Moore,,Asteraceae,Oklahoma
ACORU,,Acorus L.,sweetflag,Acoraceae,Oklahoma
ACOS,,Acalypha ostryifolia Riddell,HOPHORNBEAM COPPERLEAF,Euphorbiaceae,Oklahoma
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,Oklahoma
ACPA,,Actaea pachypoda Elliott,BANEBERRY,Ranunculaceae,Oklahoma
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Oklahoma
ACRE3,,Acroptilon repens (L.) DC.,hardheads,Asteraceae,Oklahoma
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,,Asteraceae,Oklahoma
ACRE3,CERE6,Centaurea repens L.,,Asteraceae,Oklahoma
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Oklahoma
