Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae,Oregon
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Oregon
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Oregon
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,Oregon
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba,,Pinaceae,Oregon
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,,Pinaceae,Oregon
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba,,Pinaceae,Oregon
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews,,Pinaceae,Oregon
ABIES,,Abies Mill.,fir,Pinaceae,Oregon
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Oregon
ABLA2,,Abronia latifolia Eschsch.,coastal sand verbena,Nyctaginaceae,Oregon
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Oregon
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Oregon
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Oregon
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Oregon
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Oregon
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Oregon
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Oregon
ABLO,,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,Pinaceae,Oregon
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon,,Pinaceae,Oregon
ABMA,,Abies magnifica A. Murray bis,California red fir,Pinaceae,Oregon
ABMAM,,Abies magnifica A. Murray bis var. magnifica,California red fir,Pinaceae,Oregon
ABMAS,,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir,Pinaceae,Oregon
ABMAS,ABMAS2,Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba,,Pinaceae,Oregon
ABMAS,ABMAC,Abies magnifica A. Murray bis var. critchfieldii Lanner,,Pinaceae,Oregon
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,,Pinaceae,Oregon
ABME,,Abronia mellifera Douglas ex Hook.,white sand verbena,Nyctaginaceae,Oregon
ABPR,,Abies procera Rehder,noble fir,Pinaceae,Oregon
ABPR,ABNO,Abies nobilis (Douglas ex D. Don) Lindl.,,Pinaceae,Oregon
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Oregon
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Oregon
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Oregon
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Oregon
ABTU,,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena,Nyctaginaceae,Oregon
ABTU,ABEX,Abronia exalata Standl.,,Nyctaginaceae,Oregon
ABTU,ABOR2,Abronia orbiculata Standl.,,Nyctaginaceae,Oregon
ABUM,,Abronia umbellata Lam.,pink sand verbena,Nyctaginaceae,Oregon
