Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAB,,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,Malvaceae,Puerto Rico
ABAB,ABAM5,Abutilon americanum (L.) Sweet,,Malvaceae,Puerto Rico
ABAB,ABJA,Abutilon jacquinii G. Don,,Malvaceae,Puerto Rico
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,,Malvaceae,Puerto Rico
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Puerto Rico
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Puerto Rico
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Puerto Rico
ABHI,,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,Malvaceae,Puerto Rico
ABHU,,Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,mauve,Malvaceae,Puerto Rico
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,,Malvaceae,Puerto Rico
ABHU,ABPA4,Abutilon pauciflorum Sweet,,Malvaceae,Puerto Rico
ABILD,,Abildgaardia Vahl,sedge,Cyperaceae,Puerto Rico
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,Malvaceae,Puerto Rico
ABMO,,Abelmoschus moschatus Medik.,musk okra,Malvaceae,Puerto Rico
ABMO,HIAB,Hibiscus abelmoschus L.,,Malvaceae,Puerto Rico
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,Cyperaceae,Puerto Rico
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,Cyperaceae,Puerto Rico
ABOV,CYMO10,Cyperus monostachyos L.,,Cyperaceae,Puerto Rico
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,Cyperaceae,Puerto Rico
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,Cyperaceae,Puerto Rico
ABPE,,Abutilon permolle (Willd.) Sweet,coastal Indian mallow,Malvaceae,Puerto Rico
ABPR3,,Abrus precatorius L.,rosarypea,Fabaceae,Puerto Rico
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,Fabaceae,Puerto Rico
ABRUS,,Abrus Adans.,abrus,Fabaceae,Puerto Rico
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Puerto Rico
ACAL2,,Acalypha alopecuroidea Jacq.,foxtail copperleaf,Euphorbiaceae,Puerto Rico
ACAL2,ACAR17,Acalypha aristata Kunth,,Euphorbiaceae,Puerto Rico
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Puerto Rico
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Puerto Rico
ACAR,,Acnistus arborescens (L.) Schltdl.,hollowheart,Solanaceae,Puerto Rico
ACAR,DUAR4,Dunalia arborescens (L.) Sleumer,,Solanaceae,Puerto Rico
ACAS,,Achyranthes aspera L.,devil's horsewhip,Amaranthaceae,Puerto Rico
ACAS,ACCA37,Achyranthes canescens R. Br.,,Amaranthaceae,Puerto Rico
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,Amaranthaceae,Puerto Rico
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,Amaranthaceae,Puerto Rico
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,Amaranthaceae,Puerto Rico
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,Amaranthaceae,Puerto Rico
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,Amaranthaceae,Puerto Rico
ACAU3,,Acrostichum aureum L.,golden leatherfern,Pteridaceae,Puerto Rico
ACBE2,,Acalypha berteriana Müll. Arg.,Guayama Copperleaf,Euphorbiaceae,Puerto Rico
ACBI3,,Acalypha bisetosa Bertol. ex Spreng.,streambank copperleaf,Euphorbiaceae,Puerto Rico
ACCH2,,Acalypha chamaedryfolia (Lam.) Müll. Arg.,bastard copperleaf,Euphorbiaceae,Puerto Rico
ACDA,,Acrostichum danaeifolium Langsd. & Fisch.,inland leatherfern,Pteridaceae,Puerto Rico
ACDA,ACEX2,Acrostichum excelsum Maxon,,Pteridaceae,Puerto Rico
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,Puerto Rico
ACHI2,,Acalypha hispida Burm. f.,red-hot cat's tail,Euphorbiaceae,Puerto Rico
ACHYR2,,Achyranthes L.,chaff flower,Amaranthaceae,Puerto Rico
ACIO,,Acmella iodiscaea (A.H. Moore) R.K. Jansen,maluco,Asteraceae,Puerto Rico
ACIO,SPIO,Spilanthes iodiscaea A.H. Moore,,Asteraceae,Puerto Rico
ACISA,,Acisanthera P. Br.,acisanthera,Melastomataceae,Puerto Rico
ACME2,,Acrocomia media O.F. Cook,grugru palm,Arecaceae,Puerto Rico
ACMEL,,Acmella Rich. ex Pers.,spotflower,Asteraceae,Puerto Rico
ACNIS,,Acnistus Schott,acnistus,Solanaceae,Puerto Rico
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,Puerto Rico
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,Puerto Rico
ACPO,,Acalypha poiretii Spreng.,Poiret's copperleaf,Euphorbiaceae,Puerto Rico
ACPO,ACIN,"Acalypha indica Vell., non L.",,Euphorbiaceae,Puerto Rico
ACPO4,,Acalypha portoricensis Müll. Arg.,Puerto Rico copperleaf,Euphorbiaceae,Puerto Rico
ACPU,,Acmella pusilla (Hook. & Arn.) R.K. Jansen,dwarf spotflower,Asteraceae,Puerto Rico
ACPU,SPPU5,Spilanthes pusilla Hook. & Arn.,,Asteraceae,Puerto Rico
ACQU,,Acisanthera quadrata Pers.,dustseed,Melastomataceae,Puerto Rico
ACQU,ACAC4,"Acisanthera acisanthera (L.) Britton, nom. inval.",,Melastomataceae,Puerto Rico
ACROC,,Acrocomia Mart.,acrocomia,Arecaceae,Puerto Rico
ACROS,,Acrostichum L.,leatherfern,Pteridaceae,Puerto Rico
ACSE,,Acalypha setosa A. Rich.,Cuban copperleaf,Euphorbiaceae,Puerto Rico
ACWI,,Acalypha wilkesiana Müll. Arg.,Wilkes' acalypha,Euphorbiaceae,Puerto Rico
ACWI,ACAMW,Acalypha amentacea Roxb. ssp. wilkesiana (Müll. Arg.) Fosberg,,Euphorbiaceae,Puerto Rico
ADANS2,,Adansonia L.,adansonia,Bombacaceae,Puerto Rico
ADCA,,Adiantum capillus-veneris L.,common maidenhair,Pteridaceae,Puerto Rico
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (Underw.) Fernald,,Pteridaceae,Puerto Rico
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum Fernald,,Pteridaceae,Puerto Rico
ADCA,ADMO2,Adiantum modestum Underw.,,Pteridaceae,Puerto Rico
ADCO,,Adiantum concinnum Humb. & Bonpl. ex Willd.,polished maidenhair,Pteridaceae,Puerto Rico
ADDI3,,Adansonia digitata L.,baobab,Bombacaceae,Puerto Rico
ADELI,,Adelia L.,wild lime,Euphorbiaceae,Puerto Rico
ADENA,,Adenanthera L.,beadtree,Fabaceae,Puerto Rico
ADENO4,,Adenostemma J.R. Forst. & G. Forst.,medicineplant,Asteraceae,Puerto Rico
ADFR,,Adiantum fragile Sw.,fragile maidenhair,Pteridaceae,Puerto Rico
ADFRF,,Adiantum fragile Sw. var. fragile,fragile maidenhair,Pteridaceae,Puerto Rico
ADFRR,,Adiantum fragile Sw. var. rigidulum (Mett. ex Kuhn) Proctor,fragile maidenhair,Pteridaceae,Puerto Rico
ADFRR,ADRI2,Adiantum rigidulum Mett. ex Kuhn,,Pteridaceae,Puerto Rico
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,Puerto Rico
ADLA,,Adiantum latifolium Lam.,broadleaf maidenhair,Pteridaceae,Puerto Rico
