Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Rhode Island
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Rhode Island
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Rhode Island
ABIES,,Abies Mill.,fir,Pinaceae,Rhode Island
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Rhode Island
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Rhode Island
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Rhode Island
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Rhode Island
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Rhode Island
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Rhode Island
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Rhode Island
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Rhode Island
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Rhode Island
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Rhode Island
ACER,,Acer L.,maple,Aceraceae,Rhode Island
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Rhode Island
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Rhode Island
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Rhode Island
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Rhode Island
ACHIL,,Achillea L.,yarrow,Asteraceae,Rhode Island
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Rhode Island
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Rhode Island
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Rhode Island
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Rhode Island
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Rhode Island
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Rhode Island
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Rhode Island
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Rhode Island
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Rhode Island
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Rhode Island
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Rhode Island
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Rhode Island
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Rhode Island
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Rhode Island
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Rhode Island
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Rhode Island
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Rhode Island
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Rhode Island
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Rhode Island
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Rhode Island
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Rhode Island
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Rhode Island
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Rhode Island
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Rhode Island
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Rhode Island
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Rhode Island
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Rhode Island
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Rhode Island
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Rhode Island
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Rhode Island
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,Rhode Island
ACORU,,Acorus L.,sweetflag,Acoraceae,Rhode Island
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Rhode Island
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Rhode Island
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Rhode Island
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Rhode Island
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Rhode Island
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae,Rhode Island
ACPT,,Achillea ptarmica L.,sneezeweed,Asteraceae,Rhode Island
