Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABELM,,Abelmoschus Medik.,okra,Malvaceae,South Carolina
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,South Carolina
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,South Carolina
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,South Carolina
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,South Carolina
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,South Carolina
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,South Carolina
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,South Carolina
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,South Carolina
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,South Carolina
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,South Carolina
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,South Carolina
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,South Carolina
ACCA4,,Acorus calamus L.,calamus,Acoraceae,South Carolina
ACER,,Acer L.,maple,Aceraceae,South Carolina
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,South Carolina
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,South Carolina
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,South Carolina
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,South Carolina
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,South Carolina
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,South Carolina
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,South Carolina
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,South Carolina
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,South Carolina
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,South Carolina
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,South Carolina
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,South Carolina
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,South Carolina
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,South Carolina
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,South Carolina
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,South Carolina
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,South Carolina
ACHIL,,Achillea L.,yarrow,Asteraceae,South Carolina
ACHU,,Acanthospermum humile (Sw.) DC.,low starbur,Asteraceae,South Carolina
ACHU,MEHU5,Melampodium humile Sw.,,Asteraceae,South Carolina
ACICA,,Acicarpha Juss.,acicarpha,Calyceraceae,South Carolina
ACLE,,Acer leucoderme Small,chalk maple,Aceraceae,South Carolina
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae,South Carolina
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae,South Carolina
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Small) Rehder,,Aceraceae,South Carolina
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,,Aceraceae,South Carolina
ACMEL,,Acmella Rich. ex Pers.,spotflower,Asteraceae,South Carolina
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,South Carolina
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,South Carolina
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,South Carolina
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,South Carolina
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,South Carolina
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,South Carolina
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,South Carolina
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,South Carolina
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,South Carolina
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,South Carolina
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,South Carolina
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,South Carolina
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,South Carolina
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,South Carolina
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,South Carolina
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,South Carolina
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,South Carolina
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,South Carolina
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,South Carolina
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,South Carolina
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,South Carolina
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,South Carolina
ACNE2,,Acer negundo L.,boxelder,Aceraceae,South Carolina
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,South Carolina
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,South Carolina
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,South Carolina
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,South Carolina
ACONI,,Aconitum L.,monkshood,Ranunculaceae,South Carolina
ACOP,,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,Asteraceae,South Carolina
ACOPR,,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower,Asteraceae,South Carolina
ACOPR,ACRE6,Acmella repens (Walter) Rich.,,Asteraceae,South Carolina
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,,Asteraceae,South Carolina
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron. var. repens (Walter) A.H. Moore,,Asteraceae,South Carolina
ACORU,,Acorus L.,sweetflag,Acoraceae,South Carolina
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,South Carolina
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,South Carolina
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,South Carolina
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,South Carolina
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,South Carolina
ACPO11,,Actaea podocarpa DC.,mountain bugbane,Ranunculaceae,South Carolina
ACPO11,ACCO25,Actaea cordifolia DC.,,Ranunculaceae,South Carolina
ACPO11,CIAM,Cimicifuga americana Michx.,,Ranunculaceae,South Carolina
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,,Ranunculaceae,South Carolina
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifolia (DC.) A. Gray,,Ranunculaceae,South Carolina
ACPU,,Acmella pusilla (Hook. & Arn.) R.K. Jansen,dwarf spotflower,Asteraceae,South Carolina
ACPU,SPPU5,Spilanthes pusilla Hook. & Arn.,,Asteraceae,South Carolina
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,South Carolina
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,South Carolina
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,South Carolina
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,South Carolina
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,South Carolina
ACRU,,Acer rubrum L.,red maple,Aceraceae,South Carolina
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,South Carolina
ACRUD,,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple,Aceraceae,South Carolina
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,,Aceraceae,South Carolina
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ex Nutt.) A.E. Murray,,Aceraceae,South Carolina
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Small,,Aceraceae,South Carolina
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,South Carolina
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,South Carolina
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,South Carolina
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,South Carolina
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,South Carolina
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,South Carolina
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,South Carolina
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,South Carolina
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,South Carolina
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,South Carolina
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,South Carolina
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,South Carolina
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,South Carolina
ACSE,,Acalypha setosa A. Rich.,Cuban copperleaf,Euphorbiaceae,South Carolina
ACTAE,,Actaea L.,baneberry,Ranunculaceae,South Carolina
ACTR2,,Acicarpha tribuloides Juss.,madam gorgon,Calyceraceae,South Carolina
ACUN,,Aconitum uncinatum L.,southern blue monkshood,Ranunculaceae,South Carolina
ACUNM,,Aconitum uncinatum L. ssp. muticum (DC.) Hardin,southern blue monkshood,Ranunculaceae,South Carolina
ACUNM,ACUNM2,Aconitum uncinatum L. var. muticum DC.,,Ranunculaceae,South Carolina
ACUNU,,Aconitum uncinatum L. ssp. uncinatum,southern blue monkshood,Ranunculaceae,South Carolina
ACUNU,ACUNA,Aconitum uncinatum L. var. acutidens Fernald,,Ranunculaceae,South Carolina
ACVI,,Acalypha virginica L.,Virginia threeseed mercury,Euphorbiaceae,South Carolina
ADCA,,Adiantum capillus-veneris L.,common maidenhair,Pteridaceae,South Carolina
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (Underw.) Fernald,,Pteridaceae,South Carolina
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum Fernald,,Pteridaceae,South Carolina
ADCA,ADMO2,Adiantum modestum Underw.,,Pteridaceae,South Carolina
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,South Carolina
ADPE,,Adiantum pedatum L.,northern maidenhair,Pteridaceae,South Carolina
AEFL,,Aesculus flava Aiton,yellow buckeye,Hippocastanaceae,South Carolina
AEFL,AEOC2,Aesculus octandra Marshall,,Hippocastanaceae,South Carolina
AEFL,AEOCV,Aesculus octandra Marshall var. vestita Sarg.,,Hippocastanaceae,South Carolina
AEFL,AEOCV2,Aesculus octandra Marshall var. virginica Sarg.,,Hippocastanaceae,South Carolina
AEGOP,,Aegopodium L.,goutweed,Apiaceae,South Carolina
AEHI,,Aesculus hippocastanum L.,horse chestnut,Hippocastanaceae,South Carolina
AEIN,,Aeschynomene indica L.,Indian jointvetch,Fabaceae,South Carolina
AEMU,,Aesculus ×mutabilis (Spach) Scheele [pavia × sylvatica],buckeye,Hippocastanaceae,South Carolina
AEMU,AEHA,Aesculus ×harbisonii Sarg.,,Hippocastanaceae,South Carolina
AENE,,Aesculus ×neglecta Lindl. (pro sp.) [flava × sylvatica],buckeye,Hippocastanaceae,South Carolina
AENE,AEGL2,Aesculus ×glaucescens Sarg.,,Hippocastanaceae,South Carolina
AEPA,,Aesculus pavia L.,red buckeye,Hippocastanaceae,South Carolina
AEPA2,,Aesculus parviflora Walter,bottlebrush buckeye,Hippocastanaceae,South Carolina
AEPAP,,Aesculus pavia L. var. pavia,red buckeye,Hippocastanaceae,South Carolina
AEPAP,AEAU,Aesculus austrina Small,,Hippocastanaceae,South Carolina
AEPAP,AEDI,Aesculus discolor Pursh,,Hippocastanaceae,South Carolina
AEPAP,AEDIM,Aesculus discolor Pursh var. mollis (Raf.) Sarg.,,Hippocastanaceae,South Carolina
AEPAP,AEPAD,Aesculus pavia L. var. discolor (Pursh) A. Gray,,Hippocastanaceae,South Carolina
AEPAP,AESP,Aesculus splendens Sarg.,,Hippocastanaceae,South Carolina
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae,South Carolina
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae,South Carolina
AERU,,Aeschynomene rudis Benth.,zigzag jointvetch,Fabaceae,South Carolina
AESCH,,Aeschynomene L.,jointvetch,Fabaceae,South Carolina
AESCU,,Aesculus L.,buckeye,Hippocastanaceae,South Carolina
AESY,,Aesculus sylvatica W. Bartram,painted buckeye,Hippocastanaceae,South Carolina
AESY,AEGE2,Aesculus georgiana Sarg.,,Hippocastanaceae,South Carolina
AESY,AESYL,Aesculus sylvatica W. Bartram var. lanceolata (Sarg.) W. Bartram,,Hippocastanaceae,South Carolina
AEWO,,Aesculus ×worlitzensis Koehne (pro sp.) [flava × (pavia × sylvatica)],buckeye,Hippocastanaceae,South Carolina
AEWO,AEDU,Aesculus dupontii Sarg.,,Hippocastanaceae,South Carolina
AGAL5,,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot,Asteraceae,South Carolina
AGALA,,Ageratina altissima (L.) R.M. King & H. Rob. var. altissima,white snakeroot,Asteraceae,South Carolina
AGALA,AGAL9,"Ageratum altissimum L., non Eupatorium altissimum L.",,Asteraceae,South Carolina
AGALA,EURU6,Eupatorium rugosum Houtt.,,Asteraceae,South Carolina
AGALA,EURUC,Eupatorium rugosum Houtt. var. chlorolepis Fernald,,Asteraceae,South Carolina
AGALA,EURUT,Eupatorium rugosum Houtt. var. tomentellum (B.L. Rob.) S.F. Blake,,Asteraceae,South Carolina
AGALA,EURUV,Eupatorium rugosum Houtt. var. villicaule (Fernald) S.F. Blake,,Asteraceae,South Carolina
AGALA,EUURT,Eupatorium urticifolium Reichard var. tomentellum B.L. Rob.,,Asteraceae,South Carolina
AGALI,,Agalinis Raf.,false foxglove,Scrophulariaceae,South Carolina
AGALR,,Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten,white snakeroot,Asteraceae,South Carolina
AGALR,EURO8,Eupatorium roanense Small,,Asteraceae,South Carolina
