Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,South Dakota
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,South Dakota
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,South Dakota
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,South Dakota
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,South Dakota
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,South Dakota
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,South Dakota
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,South Dakota
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,South Dakota
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,South Dakota
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,South Dakota
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,South Dakota
ACCA4,,Acorus calamus L.,calamus,Acoraceae,South Dakota
ACCO4,,Aconitum columbianum Nutt.,Columbian monkshood,Ranunculaceae,South Dakota
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae,South Dakota
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae,South Dakota
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,South Dakota
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,South Dakota
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,South Dakota
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,South Dakota
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,South Dakota
ACER,,Acer L.,maple,Aceraceae,South Dakota
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,South Dakota
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,South Dakota
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae,South Dakota
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae,South Dakota
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae,South Dakota
ACHIL,,Achillea L.,yarrow,Asteraceae,South Dakota
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,South Dakota
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,South Dakota
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,South Dakota
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,South Dakota
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,South Dakota
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,South Dakota
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,South Dakota
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,South Dakota
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,South Dakota
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,South Dakota
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,South Dakota
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,South Dakota
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,South Dakota
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,South Dakota
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,South Dakota
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,South Dakota
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,South Dakota
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,South Dakota
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,South Dakota
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,South Dakota
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,South Dakota
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,South Dakota
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,South Dakota
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,South Dakota
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,South Dakota
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,South Dakota
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,South Dakota
ACNE2,,Acer negundo L.,boxelder,Aceraceae,South Dakota
ACNE9,,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Poaceae,South Dakota
ACNED,,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass,Poaceae,South Dakota
ACNED,ACNED2,Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn,,Poaceae,South Dakota
ACNED,STCO3,"Stipa columbiana Macoun, nom. utique rej.",,Poaceae,South Dakota
ACNED,STMI6,Stipa minor (Vasey) Scribn.,,Poaceae,South Dakota
ACNED,STNED,Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze,,Poaceae,South Dakota
ACNED,STNED2,Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn,,Poaceae,South Dakota
ACNED,STOCM,"Stipa occidentalis Thurb. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc.",,Poaceae,South Dakota
ACNEI2,,Acer negundo L. var. interius (Britton) Sarg.,boxelder,Aceraceae,South Dakota
ACNEI2,ACIN3,Acer interius Britton,,Aceraceae,South Dakota
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,South Dakota
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,South Dakota
ACNEI2,NEIN3,Negundo interius (Britton) Rydb.,,Aceraceae,South Dakota
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,South Dakota
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,South Dakota
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,South Dakota
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,South Dakota
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,South Dakota
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,South Dakota
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,South Dakota
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,South Dakota
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,South Dakota
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,South Dakota
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,South Dakota
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,South Dakota
ACONI,,Aconitum L.,monkshood,Ranunculaceae,South Dakota
ACORU,,Acorus L.,sweetflag,Acoraceae,South Dakota
ACRE3,,Acroptilon repens (L.) DC.,hardheads,Asteraceae,South Dakota
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,,Asteraceae,South Dakota
ACRE3,CERE6,Centaurea repens L.,,Asteraceae,South Dakota
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,South Dakota
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,South Dakota
ACRI8,,Achnatherum richardsonii (Link) Barkworth,Richardson's needlegrass,Poaceae,South Dakota
ACRI8,STRI2,Stipa richardsonii Link,,Poaceae,South Dakota
ACRO7,,Achnatherum robustum (Vasey) Barkworth,sleepygrass,Poaceae,South Dakota
ACRO7,STRO3,Stipa robusta (Vasey) Scribn.,,Poaceae,South Dakota
ACRO7,STVA4,Stipa vaseyi Scribn.,,Poaceae,South Dakota
ACROP,,Acroptilon Cass.,hardheads,Asteraceae,South Dakota
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,South Dakota
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,Ranunculaceae,South Dakota
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,,Ranunculaceae,South Dakota
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,,Ranunculaceae,South Dakota
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,South Dakota
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,South Dakota
