Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR,,Abies fraseri (Pursh) Poir.,Fraser fir,Pinaceae,Tennessee
ABFR,PIFR,Pinus fraseri Pursh,,Pinaceae,Tennessee
ABIES,,Abies Mill.,fir,Pinaceae,Tennessee
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Tennessee
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Tennessee
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Tennessee
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Tennessee
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Tennessee
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Tennessee
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Tennessee
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Tennessee
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Tennessee
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Tennessee
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Tennessee
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Tennessee
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Tennessee
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Tennessee
ACER,,Acer L.,maple,Aceraceae,Tennessee
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Tennessee
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Tennessee
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Tennessee
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Tennessee
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Tennessee
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Tennessee
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Tennessee
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Tennessee
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Tennessee
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Tennessee
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Tennessee
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Tennessee
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Tennessee
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Tennessee
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Tennessee
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Tennessee
ACHIL,,Achillea L.,yarrow,Asteraceae,Tennessee
ACLE,,Acer leucoderme Small,chalk maple,Aceraceae,Tennessee
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae,Tennessee
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae,Tennessee
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Small) Rehder,,Aceraceae,Tennessee
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,,Aceraceae,Tennessee
ACMEL,,Acmella Rich. ex Pers.,spotflower,Asteraceae,Tennessee
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Tennessee
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Tennessee
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Tennessee
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Tennessee
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Tennessee
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Tennessee
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Tennessee
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Tennessee
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Tennessee
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Tennessee
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Tennessee
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Tennessee
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Tennessee
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Tennessee
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Tennessee
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Tennessee
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Tennessee
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Tennessee
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Tennessee
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Tennessee
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Tennessee
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Tennessee
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Tennessee
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Tennessee
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Tennessee
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Tennessee
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Tennessee
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Aceraceae,Tennessee
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae,Tennessee
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Tennessee
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Tennessee
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Tennessee
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Tennessee
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Tennessee
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Tennessee
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Tennessee
ACOP,,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,Asteraceae,Tennessee
ACOPR,,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower,Asteraceae,Tennessee
ACOPR,ACRE6,Acmella repens (Walter) Rich.,,Asteraceae,Tennessee
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,,Asteraceae,Tennessee
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron. var. repens (Walter) A.H. Moore,,Asteraceae,Tennessee
ACORU,,Acorus L.,sweetflag,Acoraceae,Tennessee
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,Tennessee
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,Tennessee
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Tennessee
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Tennessee
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Tennessee
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Tennessee
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Tennessee
ACPO11,,Actaea podocarpa DC.,mountain bugbane,Ranunculaceae,Tennessee
ACPO11,ACCO25,Actaea cordifolia DC.,,Ranunculaceae,Tennessee
ACPO11,CIAM,Cimicifuga americana Michx.,,Ranunculaceae,Tennessee
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,,Ranunculaceae,Tennessee
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifolia (DC.) A. Gray,,Ranunculaceae,Tennessee
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,Tennessee
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,Tennessee
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,Tennessee
ACRE,,Aconitum reclinatum A. Gray,trailing white monkshood,Ranunculaceae,Tennessee
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Tennessee
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Tennessee
ACRU,,Acer rubrum L.,red maple,Aceraceae,Tennessee
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Tennessee
ACRU14,,Actaea rubifolia (Kearney) Kartesz,Appalachian bugbane,Ranunculaceae,Tennessee
ACRU14,ACCO26,Actaea cordifolia auct. non DC.,,Ranunculaceae,Tennessee
ACRU14,CICO4,Cimicifuga cordifolia auct. non (DC.) Torr. & A. Gray,,Ranunculaceae,Tennessee
ACRU14,CIRAC3,Cimicifuga racemosa (L.) Nutt. var. cordifolia auct. non (DC.) A. Gray,,Ranunculaceae,Tennessee
ACRU14,CIRU,Cimicifuga rubifolia Kearney,,Ranunculaceae,Tennessee
ACRUD,,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple,Aceraceae,Tennessee
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,,Aceraceae,Tennessee
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ex Nutt.) A.E. Murray,,Aceraceae,Tennessee
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Small,,Aceraceae,Tennessee
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Tennessee
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Tennessee
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,Tennessee
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,Tennessee
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,Tennessee
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,Tennessee
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,Tennessee
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,Tennessee
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,Tennessee
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,Tennessee
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,Tennessee
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,Tennessee
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,Tennessee
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae,Tennessee
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae,Tennessee
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae,Tennessee
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae,Tennessee
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae,Tennessee
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae,Tennessee
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae,Tennessee
ACSAS2,,Acer saccharum Marshall var. schneckii Rehder,sugar maple,Aceraceae,Tennessee
ACSAS2,ACSAO,Acer saccharum Marshall ssp. ozarkense A.E. Murray,,Aceraceae,Tennessee
ACSAS2,ACSAS4,Acer saccharum Marshall ssp. schneckii (Rehder) Desmarais,,Aceraceae,Tennessee
ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae,Tennessee
ACTAE,,Actaea L.,baneberry,Ranunculaceae,Tennessee
