Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAB,,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,Malvaceae,Texas
ABAB,ABAM5,Abutilon americanum (L.) Sweet,,Malvaceae,Texas
ABAB,ABJA,Abutilon jacquinii G. Don,,Malvaceae,Texas
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,,Malvaceae,Texas
ABAM2,,Abronia ameliae Lundell,amelia sandverbena,Nyctaginaceae,Texas
ABAN,,Abronia angustifolia Greene,purple sandverbena,Nyctaginaceae,Texas
ABAN,ABANA,Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles,,Nyctaginaceae,Texas
ABAN,ABTO,Abronia torreyi Standl.,,Nyctaginaceae,Texas
ABBE,,Abutilon berlandieri A. Gray ex S. Watson,Berlandier's Indian mallow,Malvaceae,Texas
ABBE,ABCA2,Abutilon californicum auct. non Benth.,,Malvaceae,Texas
ABCA,,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,Nyctaginaceae,Texas
ABFR2,,Abronia fragrans Nutt. ex Hook.,sweet sandverbena,Nyctaginaceae,Texas
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Texas
ABFR3,,Abutilon fruticosum Guill. & Perr.,Texas Indian mallow,Malvaceae,Texas
ABFR3,ABTE,Abutilon texense Torr. & A. Gray,,Malvaceae,Texas
ABHU,,Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,mauve,Malvaceae,Texas
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,,Malvaceae,Texas
ABHU,ABPA4,Abutilon pauciflorum Sweet,,Malvaceae,Texas
ABHY,,Abutilon hypoleucum A. Gray,whiteleaf Indian mallow,Malvaceae,Texas
ABMA3,,Abutilon malacum S. Watson,yellow Indian mallow,Malvaceae,Texas
ABMA5,,Abronia macrocarpa L.A. Galloway,largefruited sandverbena,Nyctaginaceae,Texas
ABMO2,,Abutilon mollicomum (Willd.) Sweet,Sonoran Indian mallow,Malvaceae,Texas
ABMO2,ABSO,Abutilon sonorae A. Gray,,Malvaceae,Texas
ABPA3,,Abutilon parvulum A. Gray,dwarf Indian mallow,Malvaceae,Texas
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Texas
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Texas
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Texas
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Texas
ABTR,,Abutilon trisulcatum (Jacq.) Urb.,anglestem Indian mallow,Malvaceae,Texas
ABTR,ABTR2,Abutilon triquetrum (L.) Sweet,,Malvaceae,Texas
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Texas
