Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Vermont
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Vermont
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Vermont
ABBAP,,Abies balsamea (L.) Mill. var. phanerolepis Fernald,balsam fir,Pinaceae,Vermont
ABBAP,ABPH,Abies ×phanerolepis (Fernald) Liu,,Pinaceae,Vermont
ABIES,,Abies Mill.,fir,Pinaceae,Vermont
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Vermont
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Vermont
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Vermont
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Vermont
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Vermont
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Vermont
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Vermont
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Vermont
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Vermont
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Vermont
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Vermont
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Vermont
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Vermont
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Vermont
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Vermont
ACER,,Acer L.,maple,Aceraceae,Vermont
ACFI,,Achillea filipendulina Lam.,fernleaf yarrow,Asteraceae,Vermont
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Vermont
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Vermont
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Vermont
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Vermont
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Vermont
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Vermont
ACHIL,,Achillea L.,yarrow,Asteraceae,Vermont
ACINO,,Acinos Mill.,acinos,Lamiaceae,Vermont
ACLI2,,Achillea ligustica All.,Ligurian yarrow,Asteraceae,Vermont
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Vermont
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Vermont
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Vermont
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Vermont
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Vermont
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Vermont
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Vermont
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Vermont
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Vermont
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Vermont
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Vermont
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Vermont
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Vermont
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Vermont
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Vermont
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Vermont
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Vermont
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Vermont
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Vermont
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Vermont
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Vermont
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Vermont
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Vermont
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Vermont
ACNA,,Aconitum napellus L.,Venus' chariot,Ranunculaceae,Vermont
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Vermont
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Vermont
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Vermont
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Vermont
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Vermont
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Vermont
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Vermont
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Vermont
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Vermont
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Vermont
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Vermont
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Vermont
ACORU,,Acorus L.,sweetflag,Acoraceae,Vermont
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Vermont
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Vermont
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Vermont
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Vermont
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Vermont
ACPT,,Achillea ptarmica L.,sneezeweed,Asteraceae,Vermont
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Vermont
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Vermont
ACRU,,Acer rubrum L.,red maple,Aceraceae,Vermont
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Vermont
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,Vermont
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Vermont
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Vermont
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,Vermont
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,Vermont
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,Ranunculaceae,Vermont
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,,Ranunculaceae,Vermont
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,,Ranunculaceae,Vermont
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,Vermont
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,Vermont
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,Vermont
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,Vermont
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,Vermont
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,Vermont
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,Vermont
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,Vermont
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,Vermont
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae,Vermont
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae,Vermont
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae,Vermont
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae,Vermont
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae,Vermont
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae,Vermont
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae,Vermont
ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae,Vermont
ACTAE,,Actaea L.,baneberry,Ranunculaceae,Vermont
ACVI,,Acalypha virginica L.,Virginia threeseed mercury,Euphorbiaceae,Vermont
ADAL,,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,Pteridaceae,Vermont
ADAL,ADPEA2,Adiantum pedatum L. ssp. aleuticum (Rupr.) Calder & Roy L. Taylor,,Pteridaceae,Vermont
ADAL,ADPEC,Adiantum pedatum L. ssp. calderi Cody,,Pteridaceae,Vermont
ADAL,ADPES,Adiantum pedatum L. ssp. subpumilum (W.H. Wagner) Lellinger,,Pteridaceae,Vermont
ADAL,ADPEA,Adiantum pedatum L. var. aleuticum Rupr.,,Pteridaceae,Vermont
ADAL,ADPES2,Adiantum pedatum L. var. subpumilum W.H. Wagner,,Pteridaceae,Vermont
ADFU,,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Fumariaceae,Vermont
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,Vermont
ADLUM,,Adlumia Raf. ex DC.,adlumia,Fumariaceae,Vermont
ADPE,,Adiantum pedatum L.,northern maidenhair,Pteridaceae,Vermont
ADVI3,,Adiantum viridimontanum Paris,Green Mountain maidenhair,Pteridaceae,Vermont
AEGOP,,Aegopodium L.,goutweed,Apiaceae,Vermont
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae,Vermont
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae,Vermont
AGAL5,,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot,Asteraceae,Vermont
AGALA,,Ageratina altissima (L.) R.M. King & H. Rob. var. altissima,white snakeroot,Asteraceae,Vermont
AGALA,AGAL9,"Ageratum altissimum L., non Eupatorium altissimum L.",,Asteraceae,Vermont
AGALA,EURU6,Eupatorium rugosum Houtt.,,Asteraceae,Vermont
AGALA,EURUC,Eupatorium rugosum Houtt. var. chlorolepis Fernald,,Asteraceae,Vermont
AGALA,EURUT,Eupatorium rugosum Houtt. var. tomentellum (B.L. Rob.) S.F. Blake,,Asteraceae,Vermont
AGALA,EURUV,Eupatorium rugosum Houtt. var. villicaule (Fernald) S.F. Blake,,Asteraceae,Vermont
AGALA,EUURT,Eupatorium urticifolium Reichard var. tomentellum B.L. Rob.,,Asteraceae,Vermont
AGALI,,Agalinis Raf.,false foxglove,Scrophulariaceae,Vermont
AGAST,,Agastache Clayton ex Gronov.,giant hyssop,Lamiaceae,Vermont
AGCA4,,Agrostis canina L.,velvet bentgrass,Poaceae,Vermont
AGCA4,AGCAV,Agrostis canina L. var. varians (Thuill.) Ducomm.,,Poaceae,Vermont
AGCA5,,Agrostis capillaris L.,colonial bentgrass,Poaceae,Vermont
AGCA5,AGSY2,Agrostis sylvatica Huds.,,Poaceae,Vermont
AGCA5,AGTE,Agrostis tenuis Sibth.,,Poaceae,Vermont
AGCA5,AGTEA,Agrostis tenuis Sibth. var. aristata (Parnell) Druce,,Poaceae,Vermont
AGCA5,AGTEH,Agrostis tenuis Sibth. var. hispida (Willd.) Philipson,,Poaceae,Vermont
AGCA5,AGTEP,Agrostis tenuis Sibth. var. pumila (L.) Druce,,Poaceae,Vermont
AGCA5,AGVU2,Agrostis vulgaris With.,,Poaceae,Vermont
AGERA2,,Ageratina Spach,snakeroot,Asteraceae,Vermont
AGEX,,Agrostis exarata Trin.,spike bentgrass,Poaceae,Vermont
AGEX,AGAE2,Agrostis aenea Trin.,,Poaceae,Vermont
AGEX,AGAL2,Agrostis alaskana Hultén,,Poaceae,Vermont
AGEX,AGAM2,Agrostis ampla Hitchc.,,Poaceae,Vermont
AGEX,AGAS4,Agrostis asperifolia Trin.,,Poaceae,Vermont
AGEX,AGEXM3,Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.,,Poaceae,Vermont
AGEX,AGEXM,Agrostis exarata Trin. var. minor Hook.,,Poaceae,Vermont
AGEX,AGEXM2,Agrostis exarata Trin. var. monolepis (Torr.) Hitchc.,,Poaceae,Vermont
AGEX,AGEXP2,Agrostis exarata Trin. var. pacifica Vasey,,Poaceae,Vermont
AGEX,AGEXP,Agrostis exarata Trin. var. purpurascens Hultén,,Poaceae,Vermont
AGEX,AGLO2,Agrostis longiligula Hitchc.,,Poaceae,Vermont
AGEX,AGLOA,Agrostis longiligula Hitchc. var. australis J.T. Howell,,Poaceae,Vermont
AGEX,AGME,Agrostis melaleuca (Trin.) Hitchc.,,Poaceae,Vermont
AGEX,AGMIM,Agrostis microphylla Steud. var. major Vasey,,Poaceae,Vermont
AGGI,,Agrostemma githago L.,common corncockle,Caryophyllaceae,Vermont
AGGI2,,Agrostis gigantea Roth,redtop,Poaceae,Vermont
AGGI2,AGAL3,Agrostis alba auct. non L.,,Poaceae,Vermont
AGGI2,AGGID,Agrostis gigantea Roth var. dispar (Michx.) Philipson,,Poaceae,Vermont
AGGI2,AGNI,Agrostis nigra With.,,Poaceae,Vermont
AGGI2,AGSTG,Agrostis stolonifera L. ssp. gigantea (Roth) Schübl. & G. Martens,,Poaceae,Vermont
AGGI2,AGSTM,Agrostis stolonifera L. var. major (Gaudin) Farw.,,Poaceae,Vermont
AGGR2,,Agrimonia gryposepala Wallr.,tall hairy agrimony,Rosaceae,Vermont
AGHY,,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass,Poaceae,Vermont
AGHY,AGAN2,Agrostis antecedens E.P. Bicknell,,Poaceae,Vermont
AGHY,COHY2,Cornucopiae hyemalis Walter,,Poaceae,Vermont
AGME3,,Agrostis mertensii Trin.,northern bentgrass,Poaceae,Vermont
AGME3,AGBA5,Agrostis bakeri Rydb.,,Poaceae,Vermont
AGME3,AGBO2,Agrostis borealis Hartm.,,Poaceae,Vermont
AGME3,AGBOA3,Agrostis borealis Hartm. var. americana (Scribn.) Fernald,,Poaceae,Vermont
AGME3,AGBOP,Agrostis borealis Hartm. var. paludosa (Scribn.) Fernald,,Poaceae,Vermont
AGME3,AGIDB,Agrostis idahoensis Nash var. bakeri (Rydb.) W.A. Weber,,Poaceae,Vermont
AGME3,AGMEB,Agrostis mertensii Trin. ssp. borealis (Hartm.) Tzvelev,,Poaceae,Vermont
AGME3,AGRU2,Agrostis rupestris auct. non All.,,Poaceae,Vermont
AGNE2,,Agastache nepetoides (L.) Kuntze,yellow giant hyssop,Lamiaceae,Vermont
AGPA12,,Agalinis paupercula (A. Gray) Britton,smallflower false foxglove,Scrophulariaceae,Vermont
AGPAB,,Agalinis paupercula (A. Gray) Britton var. borealis Pennell,smallflower false foxglove,Scrophulariaceae,Vermont
AGPAB,AGPUP,Agalinis purpurea (L.) Pennell var. parviflora (Benth.) B. Boivin,,Scrophulariaceae,Vermont
AGPAB,GEPAB,Gerardia paupercula (A. Gray) Britton ssp. borealis (Pennell) Pennell,,Scrophulariaceae,Vermont
AGPAB,GEPAB2,Gerardia paupercula (A. Gray) Britton var. borealis (Pennell) Deam,,Scrophulariaceae,Vermont
AGPAB,GEPUP4,Gerardia purpurea L. var. parviflora Benth.,,Scrophulariaceae,Vermont
AGPAP3,,Agalinis paupercula (A. Gray) Britton var. paupercula,smallflower false foxglove,Scrophulariaceae,Vermont
AGPAP3,GEPA8,Gerardia paupercula (A. Gray) Britton,,Scrophulariaceae,Vermont
AGPAP3,GEPAT,Gerardia paupercula (A. Gray) Britton var. typica Pennell,,Scrophulariaceae,Vermont
AGPAP3,GEPUP3,Gerardia purpurea L. var. paupercula A. Gray,,Scrophulariaceae,Vermont
AGPE,,Agrostis perennans (Walter) Tuck.,upland bentgrass,Poaceae,Vermont
AGPE,AGAL8,Agrostis altissima (Walter) Tuck.,,Poaceae,Vermont
AGPE,AGEL5,Agrostis elata (Pursh) Trin.,,Poaceae,Vermont
AGPE,AGOR3,Agrostis oreophila Trin.,,Poaceae,Vermont
AGPE,AGPEA,Agrostis perennans (Walter) Tuck. var. aestivalis Vasey,,Poaceae,Vermont
AGPE,AGPEE,Agrostis perennans (Walter) Tuck. var. elata (Pursh) Hitchc.,,Poaceae,Vermont
AGPE,AGSC6,Agrostis schweinitzii Trin.,,Poaceae,Vermont
AGPE,COPE7,Cornucopiae perennans Walter,,Poaceae,Vermont
AGPU,,Agrimonia pubescens Wallr.,soft agrimony,Rosaceae,Vermont
AGPU,AGBI,Agrimonia bicknellii (Kearney) Rydb.,,Rosaceae,Vermont
AGPU,AGMO3,Agrimonia mollis (Torr. & A. Gray) Britton,,Rosaceae,Vermont
AGRIM,,Agrimonia L.,agrimony,Rosaceae,Vermont
AGROS,,Agrostemma L.,corncockle,Caryophyllaceae,Vermont
AGROS2,,Agrostis L.,bentgrass,Poaceae,Vermont
AGSC,,Agastache scrophulariifolia (Willd.) Kuntze,purple giant hyssop,Lamiaceae,Vermont
AGSC,AGSCM,Agastache scrophulariifolia (Willd.) Kuntze var. mollis (Fernald) A. Heller,,Lamiaceae,Vermont
AGSC5,,Agrostis scabra Willd.,rough bentgrass,Poaceae,Vermont
AGSC5,AGGE2,Agrostis geminata Trin.,,Poaceae,Vermont
AGSC5,AGHYG,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb. var. geminata (Trin.) Hitchc.",,Poaceae,Vermont
AGSC5,AGHYS,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb. var. scabra (Willd.) Blomquist",,Poaceae,Vermont
AGSC5,AGHYT,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb. var. tenuis (Tuck.) Gleason",,Poaceae,Vermont
AGSC5,AGSCS4,Agrostis scabra Willd. ssp. septentrionalis (Fernald) Á. Löve & D. Löve,,Poaceae,Vermont
AGSC5,AGSCG,Agrostis scabra Willd. var. geminata (Trin.) Swallen,,Poaceae,Vermont
AGSC5,AGSCS,Agrostis scabra Willd. var. septentrionalis Fernald,,Poaceae,Vermont
AGST,,Agrimonia striata Michx.,roadside agrimony,Rosaceae,Vermont
AGST2,,Agrostis stolonifera L.,creeping bentgrass,Poaceae,Vermont
AGST2,AGALP,Agrostis alba L. var. palustris (Huds.) Pers.,,Poaceae,Vermont
AGST2,AGALS,Agrostis alba L. var. stolonifera (L.) Sm.,,Poaceae,Vermont
AGST2,AGMA10,Agrostis maritima Lam.,,Poaceae,Vermont
AGST2,AGPA17,Agrostis palustris Huds.,,Poaceae,Vermont
AGST2,AGSTC,Agrostis stolonifera L. var. compacta Hartm.,,Poaceae,Vermont
AGST2,AGSTP,Agrostis stolonifera L. var. palustris (Huds.) Farw.,,Poaceae,Vermont
AGTE3,,Agalinis tenuifolia (Vahl) Raf.,slenderleaf false foxglove,Scrophulariaceae,Vermont
AGTEP2,,Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell,slenderleaf false foxglove,Scrophulariaceae,Vermont
AGTEP2,GETEP6,Gerardia tenuifolia Vahl ssp. parviflora (Nutt.) Pennell,,Scrophulariaceae,Vermont
AGTEP2,GETEP4,Gerardia tenuifolia Vahl var. parviflora Nutt.,,Scrophulariaceae,Vermont
AGTET,,Agalinis tenuifolia (Vahl) Raf. var. tenuifolia,slenderleaf false foxglove,Scrophulariaceae,Vermont
AGTET,GETE6,Gerardia tenuifolia Vahl,,Scrophulariaceae,Vermont
AGTET,GETEH,Gerardia tenuifolia Vahl var. humilis Benth.,,Scrophulariaceae,Vermont
AGTET,GETET2,Gerardia tenuifolia Vahl var. typica Pennell,,Scrophulariaceae,Vermont
AICA,,Aira caryophyllea L.,silver hairgrass,Poaceae,Vermont
AICAC2,,Aira caryophyllea L. var. caryophyllea,silver hairgrass,Poaceae,Vermont
AICAC2,ASCA22,Aspris caryophyllea (L.) Nash,,Poaceae,Vermont
AIRA,,Aira L.,hairgrass,Poaceae,Vermont
AJGE,,Ajuga genevensis L.,blue bugle,Lamiaceae,Vermont
AJRE,,Ajuga reptans L.,common bugle,Lamiaceae,Vermont
AJUGA,,Ajuga L.,bugle,Lamiaceae,Vermont
ALAE,,Alopecurus aequalis Sobol.,shortawn foxtail,Poaceae,Vermont
ALAEA,,Alopecurus aequalis Sobol. var. aequalis,shortawn foxtail,Poaceae,Vermont
ALAEA,ALAEN,Alopecurus aequalis Sobol. var. natans (Wahlenb.) Fernald,,Poaceae,Vermont
ALAEA,ALAR5,Alopecurus aristulatus Michx.,,Poaceae,Vermont
ALAEA,ALGEA,Alopecurus geniculatus L. var. aristulatus (Michx.) Torr.,,Poaceae,Vermont
ALAL3,,Alyssum alyssoides (L.) L.,pale madwort,Brassicaceae,Vermont
ALAL3,ALCA11,Alyssum calycinum L.,,Brassicaceae,Vermont
ALAL3,CLAL10,Clypeola alyssoides L.,,Brassicaceae,Vermont
ALBU2,,Allium burdickii (Hanes) A.G. Jones,narrowleaf wild leek,Liliaceae,Vermont
ALBU2,ALTRB,Allium tricoccum Aiton var. burdickii Hanes,,Liliaceae,Vermont
ALCA3,,Allium canadense L.,meadow garlic,Liliaceae,Vermont
ALCAC,,Allium canadense L. var. canadense,meadow garlic,Liliaceae,Vermont
ALCAC,ALAC3,Allium acetabulum (Raf.) Shinners,,Liliaceae,Vermont
ALCAC,ALCAO,Allium canadense L. var. ovoideum Farw.,,Liliaceae,Vermont
ALCAC,ALCAR,Allium canadense L. var. robustum Farw.,,Liliaceae,Vermont
ALCAC,ALCO4,Allium continuum Small,,Liliaceae,Vermont
ALCE,,Allium cepa L.,garden onion,Liliaceae,Vermont
ALCE,ALCEA2,Allium cepa L. var. aggregatum G. Don,,Liliaceae,Vermont
ALCE,ALCEC,Allium cepa L. var. cepa,,Liliaceae,Vermont
ALCE,ALCEM,Allium cepa L. var. multiplicans L.H. Bailey,,Liliaceae,Vermont
ALCE,ALCEP,Allium cepa L. var. proliferum (Moench) Regel,,Liliaceae,Vermont
ALCE,ALCES,Allium cepa L. var. solaninum Alef.,,Liliaceae,Vermont
ALCEA,,Alcea L.,hollyhock,Malvaceae,Vermont
ALCHE,,Alchemilla L.,lady's mantle,Rosaceae,Vermont
ALFI4,,Allium fistulosum L.,welsh onion,Liliaceae,Vermont
ALGE2,,Alopecurus geniculatus L.,water foxtail,Poaceae,Vermont
ALGEG4,,Alopecurus geniculatus L. var. geniculatus,water foxtail,Poaceae,Vermont
ALGEG4,ALPA9,Alopecurus pallescens Piper,,Poaceae,Vermont
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder,Betulaceae,Vermont
ALGL2,ALAL7,"Alnus alnus (L.) Britton, nom. inval.",,Betulaceae,Vermont
ALGR,,Alisma gramineum Lej.,narrowleaf water plantain,Alismataceae,Vermont
ALGR,ALGE3,Alisma geyeri Torr.,,Alismataceae,Vermont
ALGR,ALGRA,Alisma gramineum Lej. var. angustissimum (DC.) A.J. Hendricks,,Alismataceae,Vermont
ALGR,ALGRG2,Alisma gramineum Lej. var. geyeri (Torr.) Lam.,,Alismataceae,Vermont
ALGR,ALGRG3,Alisma gramineum Lej. var. graminifolium (Wahlenb.) A.J. Hendricks,,Alismataceae,Vermont
ALGR,ALGRW,Alisma gramineum Lej. var. wahlenbergii auct. non (Holmb.) Raymond & Kucyniak,,Alismataceae,Vermont
ALGR,ALLA5,Alisma lanceolatum A. Gray,,Alismataceae,Vermont
ALIN2,,Alnus incana (L.) Moench,gray alder,Betulaceae,Vermont
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder,Betulaceae,Vermont
ALINR,ALINA,Alnus incana (L.) Moench var. americana Regel,,Betulaceae,Vermont
ALINR,ALRU3,Alnus rugosa (Du Roi) Spreng.,,Betulaceae,Vermont
ALINR,ALRUA,Alnus rugosa (Du Roi) Spreng. var. americana (Regel) Fernald,,Betulaceae,Vermont
ALISM,,Alisma L.,water plantain,Alismataceae,Vermont
ALLIA,,Alliaria Heist. ex Fabr.,alliaria,Brassicaceae,Vermont
ALLIU,,Allium L.,onion,Liliaceae,Vermont
ALMO4,,Alchemilla monticola Opiz,hairy lady's mantle,Rosaceae,Vermont
ALMO4,ALPR5,Alchemilla pratensis auct. non F.W. Schmidt,,Rosaceae,Vermont
ALMO4,ALVU2,Alchemilla vulgaris auct. non L.,,Rosaceae,Vermont
ALMO4,ALVUP,Alchemilla vulgaris L. var. pastoralis (Buser) B. Boivin,,Rosaceae,Vermont
ALMO4,ALXA,Alchemilla xanthochlora auct. non Rothm.,,Rosaceae,Vermont
ALNUS,,Alnus Mill.,alder,Betulaceae,Vermont
ALOPE,,Alopecurus L.,foxtail,Poaceae,Vermont
ALPE4,,Alliaria petiolata (M. Bieb.) Cavara & Grande,garlic mustard,Brassicaceae,Vermont
ALPE4,ALAL8,"Alliaria alliaria (L.) Britton, nom. inval.",,Brassicaceae,Vermont
ALPE4,ALOF3,Alliaria officinalis Andrz. ex M. Bieb.,,Brassicaceae,Vermont
ALPE4,ERAL14,Erysimum alliaria L.,,Brassicaceae,Vermont
ALPE4,SIAL11,Sisymbrium alliaria (L.) Scop.,,Brassicaceae,Vermont
ALPR3,,Alopecurus pratensis L.,meadow foxtail,Poaceae,Vermont
ALPR6,,Allium ×proliferum (Moench) Schrad. ex Willd. [cepa × fistulosum],garden onion,Liliaceae,Vermont
ALPR6,ALCEB,Allium cepa L. var. bulbiferum Regel,,Liliaceae,Vermont
ALPR6,ALCEV,Allium cepa L. var. viviparum (Metz.) Mansf.,,Liliaceae,Vermont
ALRO3,,Alcea rosea L.,hollyhock,Malvaceae,Vermont
ALRO3,ALFI9,Alcea ficifolia L.,,Malvaceae,Vermont
ALRO3,ALRO4,Althaea rosea (L.) Cav.,,Malvaceae,Vermont
ALSA2,,Allium sativum L.,cultivated garlic,Liliaceae,Vermont
ALSC,,Allium schoenoprasum L.,wild chives,Liliaceae,Vermont
ALSCS,,Allium schoenoprasum L. var. sibiricum (L.) Hartm.,wild chives,Liliaceae,Vermont
ALSCS,ALSCS3,Allium schoenoprasum L. ssp. sibiricum (L.) Celak.,,Liliaceae,Vermont
ALSCS,ALSCL,Allium schoenoprasum L. var. laurentianum Fernald,,Liliaceae,Vermont
ALSCS,ALSI4,Allium sibiricum L.,,Liliaceae,Vermont
ALSCS2,,Allium schoenoprasum L. var. schoenoprasum,wild chives,Liliaceae,Vermont
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder,Betulaceae,Vermont
ALSE2,ALINS,Alnus incana (L.) Moench var. serrulata (Aiton) B. Boivin,,Betulaceae,Vermont
