Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAB,,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,Malvaceae,Virgin Islands
ABAB,ABAM5,Abutilon americanum (L.) Sweet,,Malvaceae,Virgin Islands
ABAB,ABJA,Abutilon jacquinii G. Don,,Malvaceae,Virgin Islands
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,,Malvaceae,Virgin Islands
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Virgin Islands
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Virgin Islands
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Virgin Islands
ABHI,,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,Malvaceae,Virgin Islands
ABILD,,Abildgaardia Vahl,sedge,Cyperaceae,Virgin Islands
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,Malvaceae,Virgin Islands
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,Cyperaceae,Virgin Islands
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,Cyperaceae,Virgin Islands
ABOV,CYMO10,Cyperus monostachyos L.,,Cyperaceae,Virgin Islands
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,Cyperaceae,Virgin Islands
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,Cyperaceae,Virgin Islands
ABPR3,,Abrus precatorius L.,rosarypea,Fabaceae,Virgin Islands
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,Fabaceae,Virgin Islands
ABRUS,,Abrus Adans.,abrus,Fabaceae,Virgin Islands
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Virgin Islands
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Virgin Islands
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Virgin Islands
ACANT6,,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus,Cactaceae,Virgin Islands
ACAR,,Acnistus arborescens (L.) Schltdl.,hollowheart,Solanaceae,Virgin Islands
ACAR,DUAR4,Dunalia arborescens (L.) Sleumer,,Solanaceae,Virgin Islands
ACAS,,Achyranthes aspera L.,devil's horsewhip,Amaranthaceae,Virgin Islands
ACAS,ACCA37,Achyranthes canescens R. Br.,,Amaranthaceae,Virgin Islands
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,Amaranthaceae,Virgin Islands
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,Amaranthaceae,Virgin Islands
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,Amaranthaceae,Virgin Islands
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,Amaranthaceae,Virgin Islands
ACAU3,,Acrostichum aureum L.,golden leatherfern,Pteridaceae,Virgin Islands
ACCH2,,Acalypha chamaedryfolia (Lam.) Müll. Arg.,bastard copperleaf,Euphorbiaceae,Virgin Islands
ACDA,,Acrostichum danaeifolium Langsd. & Fisch.,inland leatherfern,Pteridaceae,Virgin Islands
ACDA,ACEX2,Acrostichum excelsum Maxon,,Pteridaceae,Virgin Islands
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,Virgin Islands
ACHYR2,,Achyranthes L.,chaff flower,Amaranthaceae,Virgin Islands
ACME2,,Acrocomia media O.F. Cook,grugru palm,Arecaceae,Virgin Islands
ACNIS,,Acnistus Schott,acnistus,Solanaceae,Virgin Islands
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,Virgin Islands
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,Virgin Islands
ACPO,,Acalypha poiretii Spreng.,Poiret's copperleaf,Euphorbiaceae,Virgin Islands
ACPO,ACIN,"Acalypha indica Vell., non L.",,Euphorbiaceae,Virgin Islands
ACPO4,,Acalypha portoricensis Müll. Arg.,Puerto Rico copperleaf,Euphorbiaceae,Virgin Islands
ACROC,,Acrocomia Mart.,acrocomia,Arecaceae,Virgin Islands
ACROS,,Acrostichum L.,leatherfern,Pteridaceae,Virgin Islands
ACTE4,,Acanthocereus tetragonus (L.) Humm.,triangle cactus,Cactaceae,Virgin Islands
ACTE4,ACFL3,Acanthocereus floridanus Small ex Britton & Rose,,Cactaceae,Virgin Islands
ACTE4,ACPE5,Acanthocereus pentagonus (L.) Britton & Rose,,Cactaceae,Virgin Islands
ACTE4,CATE30,Cactus tetragonus L.,,Cactaceae,Virgin Islands
ACTE4,CEPE4,Cereus pentagonus (L.) Haw.,,Cactaceae,Virgin Islands
ADELI,,Adelia L.,wild lime,Euphorbiaceae,Virgin Islands
ADENA,,Adenanthera L.,beadtree,Fabaceae,Virgin Islands
ADENO4,,Adenostemma J.R. Forst. & G. Forst.,medicineplant,Asteraceae,Virgin Islands
ADFR,,Adiantum fragile Sw.,fragile maidenhair,Pteridaceae,Virgin Islands
ADFRF,,Adiantum fragile Sw. var. fragile,fragile maidenhair,Pteridaceae,Virgin Islands
ADFRR,,Adiantum fragile Sw. var. rigidulum (Mett. ex Kuhn) Proctor,fragile maidenhair,Pteridaceae,Virgin Islands
