Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Virginia
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Virginia
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Virginia
ABBAP,,Abies balsamea (L.) Mill. var. phanerolepis Fernald,balsam fir,Pinaceae,Virginia
ABBAP,ABPH,Abies ×phanerolepis (Fernald) Liu,,Pinaceae,Virginia
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Virginia
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Virginia
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Virginia
ABFR,,Abies fraseri (Pursh) Poir.,Fraser fir,Pinaceae,Virginia
ABFR,PIFR,Pinus fraseri Pursh,,Pinaceae,Virginia
ABIES,,Abies Mill.,fir,Pinaceae,Virginia
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Virginia
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Virginia
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Virginia
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Virginia
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Virginia
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Virginia
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Virginia
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Virginia
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Virginia
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Virginia
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Virginia
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Virginia
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Virginia
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Virginia
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Virginia
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Virginia
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Virginia
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Virginia
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Virginia
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Virginia
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Virginia
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Virginia
ACER,,Acer L.,maple,Aceraceae,Virginia
