Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae,Washington
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,Washington
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Washington
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,Washington
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba,,Pinaceae,Washington
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,,Pinaceae,Washington
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba,,Pinaceae,Washington
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews,,Pinaceae,Washington
ABIES,,Abies Mill.,fir,Pinaceae,Washington
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Washington
ABLA2,,Abronia latifolia Eschsch.,coastal sand verbena,Nyctaginaceae,Washington
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Washington
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Washington
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Washington
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Washington
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Washington
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Washington
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Washington
ABME,,Abronia mellifera Douglas ex Hook.,white sand verbena,Nyctaginaceae,Washington
ABPR,,Abies procera Rehder,noble fir,Pinaceae,Washington
ABPR,ABNO,Abies nobilis (Douglas ex D. Don) Lindl.,,Pinaceae,Washington
ABRON,,Abronia Juss.,sandverbena,Nyctaginaceae,Washington
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Washington
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Washington
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Washington
ABUM,,Abronia umbellata Lam.,pink sand verbena,Nyctaginaceae,Washington
ABUMB,,Abronia umbellata Lam. ssp. breviflora (Standl.) Munz,pink sand verbena,Nyctaginaceae,Washington
ABUMB,ABAC,Abronia acutalata Standl.,,Nyctaginaceae,Washington
ABUMB,ABBR2,Abronia breviflora Standl.,,Nyctaginaceae,Washington
ABUMB,ABUMA2,Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett,,Nyctaginaceae,Washington
ABUMB,ABUMA3,Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.,,Nyctaginaceae,Washington
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Washington
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Washington
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Washington
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Washington
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Washington
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Washington
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Washington
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Washington
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Washington
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Washington
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],,Poaceae,Washington
