Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,West Virginia
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,West Virginia
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,West Virginia
ABBAP,,Abies balsamea (L.) Mill. var. phanerolepis Fernald,balsam fir,Pinaceae,West Virginia
ABBAP,ABPH,Abies ×phanerolepis (Fernald) Liu,,Pinaceae,West Virginia
ABIES,,Abies Mill.,fir,Pinaceae,West Virginia
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,West Virginia
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,West Virginia
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,West Virginia
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,West Virginia
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,West Virginia
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,West Virginia
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,West Virginia
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,West Virginia
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,West Virginia
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,West Virginia
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,West Virginia
ACCA4,,Acorus calamus L.,calamus,Acoraceae,West Virginia
ACER,,Acer L.,maple,Aceraceae,West Virginia
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,West Virginia
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,West Virginia
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,West Virginia
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,West Virginia
ACHIL,,Achillea L.,yarrow,Asteraceae,West Virginia
ACHYR2,,Achyranthes L.,chaff flower,Amaranthaceae,West Virginia
ACINO,,Acinos Mill.,acinos,Lamiaceae,West Virginia
ACJA,,Achyranthes japonica (Miq.) Nakai,Japanese chaff flower,Amaranthaceae,West Virginia
ACJAH,,Achyranthes japonica (Miq.) Nakai var. hachijoensis Honda,Japanese chaff flower,Amaranthaceae,West Virginia
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,West Virginia
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,West Virginia
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,West Virginia
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,West Virginia
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,West Virginia
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,West Virginia
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,West Virginia
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,West Virginia
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,West Virginia
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,West Virginia
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,West Virginia
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,West Virginia
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,West Virginia
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,West Virginia
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,West Virginia
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,West Virginia
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,West Virginia
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,West Virginia
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,West Virginia
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,West Virginia
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,West Virginia
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,West Virginia
ACNE2,,Acer negundo L.,boxelder,Aceraceae,West Virginia
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,West Virginia
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,West Virginia
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,West Virginia
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,West Virginia
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,West Virginia
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,West Virginia
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,West Virginia
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,West Virginia
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,West Virginia
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,West Virginia
ACONI,,Aconitum L.,monkshood,Ranunculaceae,West Virginia
ACORU,,Acorus L.,sweetflag,Acoraceae,West Virginia
