Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Wisconsin
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Wisconsin
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Wisconsin
ABIES,,Abies Mill.,fir,Pinaceae,Wisconsin
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Wisconsin
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Wisconsin
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Wisconsin
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Wisconsin
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Wisconsin
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Wisconsin
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Wisconsin
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Wisconsin
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Wisconsin
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Wisconsin
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Wisconsin
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Wisconsin
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Wisconsin
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Wisconsin
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Wisconsin
ACER,,Acer L.,maple,Aceraceae,Wisconsin
ACFR,,Acer ×freemanii A.E. Murray [rubrum × saccharinum],Freeman maple,Aceraceae,Wisconsin
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Wisconsin
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Wisconsin
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Wisconsin
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Wisconsin
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Wisconsin
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Wisconsin
ACHIL,,Achillea L.,yarrow,Asteraceae,Wisconsin
ACINO,,Acinos Mill.,acinos,Lamiaceae,Wisconsin
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Wisconsin
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Wisconsin
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Wisconsin
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Wisconsin
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Wisconsin
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Wisconsin
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Wisconsin
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Wisconsin
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Wisconsin
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Wisconsin
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Wisconsin
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Wisconsin
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Wisconsin
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Wisconsin
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Wisconsin
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Wisconsin
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Wisconsin
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Wisconsin
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Wisconsin
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Wisconsin
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Wisconsin
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Wisconsin
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Wisconsin
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Wisconsin
ACNA,,Aconitum napellus L.,Venus' chariot,Ranunculaceae,Wisconsin
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Wisconsin
ACNEI2,,Acer negundo L. var. interius (Britton) Sarg.,boxelder,Aceraceae,Wisconsin
ACNEI2,ACIN3,Acer interius Britton,,Aceraceae,Wisconsin
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,Wisconsin
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,Wisconsin
ACNEI2,NEIN3,Negundo interius (Britton) Rydb.,,Aceraceae,Wisconsin
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Wisconsin
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Wisconsin
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Wisconsin
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Wisconsin
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Wisconsin
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,Wisconsin
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Wisconsin
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Wisconsin
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,Wisconsin
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,Wisconsin
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,Wisconsin
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,Wisconsin
ACNO2,,Aconitum noveboracense A. Gray ex Coville,northern blue monkshood,Ranunculaceae,Wisconsin
ACNO2,ACNOQ,Aconitum noveboracense A. Gray ex Coville var. quasiciliatum Fassett,,Ranunculaceae,Wisconsin
ACNO2,ACUNN,Aconitum uncinatum L. ssp. noveboracense (A. Gray ex Coville) Hardin,,Ranunculaceae,Wisconsin
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Wisconsin
ACORU,,Acorus L.,sweetflag,Acoraceae,Wisconsin
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Wisconsin
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Wisconsin
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Wisconsin
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Wisconsin
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Wisconsin
ACPT,,Achillea ptarmica L.,sneezeweed,Asteraceae,Wisconsin
ACRE3,,Acroptilon repens (L.) DC.,hardheads,Asteraceae,Wisconsin
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,,Asteraceae,Wisconsin
ACRE3,CERE6,Centaurea repens L.,,Asteraceae,Wisconsin
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Wisconsin
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Wisconsin
ACROP,,Acroptilon Cass.,hardheads,Asteraceae,Wisconsin
ACRU,,Acer rubrum L.,red maple,Aceraceae,Wisconsin
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Wisconsin
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,Wisconsin
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Wisconsin
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Wisconsin
