Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAM3,,Abronia ammophila Greene,Wyoming sand verbena,Nyctaginaceae,Wyoming
ABAM3,ABFE,Abronia fendleri Standl.,,Nyctaginaceae,Wyoming
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,WHITE FIR,Pinaceae,Wyoming
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Wyoming
ABEL,,Abronia elliptica A. Nelson,fragrant white sand verbena,Nyctaginaceae,Wyoming
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,,Nyctaginaceae,Wyoming
ABEL,ABPU2,Abronia pumila Rydb.,,Nyctaginaceae,Wyoming
ABEL,ABRA,Abronia ramosa Standl.,,Nyctaginaceae,Wyoming
ABEL,ABSA3,Abronia salsa Rydb.,,Nyctaginaceae,Wyoming
ABFR2,,Abronia fragrans Nutt. ex Hook.,SNOWBALL SANDVERBENA,Nyctaginaceae,Wyoming
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Wyoming
ABIES,,Abies Mill.,fir,Pinaceae,Wyoming
ABLA,,Abies lasiocarpa (Hook.) Nutt.,SUBALPINE FIR,Pinaceae,Wyoming
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Wyoming
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Wyoming
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Wyoming
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Wyoming
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Wyoming
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Wyoming
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Wyoming
ABME,,Abronia mellifera Douglas ex Hook.,white sand verbena,Nyctaginaceae,Wyoming
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Wyoming
ABTH,,Abutilon theophrasti Medik.,VELVETLEAF,Malvaceae,Wyoming
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Wyoming
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Wyoming
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Wyoming
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Wyoming
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Wyoming
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Wyoming
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Wyoming
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Wyoming
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Wyoming
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],BLOOMER RICEGRASS,Poaceae,Wyoming
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Poaceae,Wyoming
ACBL,STBL4,Stipa bloomeri Bol.,,Poaceae,Wyoming
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,Poaceae,Wyoming
ACCO22,,Achnatherum contractum (B.L. Johnson) Barkworth,contracted ricegrass,Poaceae,Wyoming
ACCO22,ORCO3,Oryzopsis contracta (B.L. Johnson) Schltr.,,Poaceae,Wyoming
ACCO22,ORHYC,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper var. contracta B.L. Johnson,,Poaceae,Wyoming
ACCO22,STCO11,Stipa contracta (B.L. Johnson) W.A. Weber,,Poaceae,Wyoming
ACCO4,,Aconitum columbianum Nutt.,COLUMBIA MONKSHOOD,Ranunculaceae,Wyoming
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae,Wyoming
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae,Wyoming
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,Wyoming
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,Wyoming
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,Wyoming
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,Wyoming
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,Wyoming
ACER,,Acer L.,maple,Aceraceae,Wyoming
ACGL,,Acer glabrum Torr.,ROCKY MOUNTAIN MAPLE,Aceraceae,Wyoming
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Aceraceae,Wyoming
ACGLD4,ACDO,Acer douglasii Hook.,,Aceraceae,Wyoming
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,,Aceraceae,Wyoming
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,Wyoming
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae,Wyoming
